Name,STARmeter,Known for
Kev Adams Ruben Jablonski  Ruben Jablonski  See fewer,Members only,The Spy Who Dumped Me (2018)
Manon Azem Nora  Nora  See fewer,Members only,Burn Out (I) (2017)
Côme Levin Durex  Durex  See fewer,Members only,The Family (I) (2013)
Hubert Koundé Ulysse Abraham Bakel  Ulysse Abraham Bakel  See fewer,Members only,La Haine (1995)
Mona Walravens June  June  See fewer,Members only,Blue Is the Warmest Color (2013)
Rutger Hauer Dolph Van Tannen  Dolph Van Tannen  See fewer,Top 5000,Blade Runner (1982)
Alex Hendrickx Caspar Van Tannen  Caspar Van Tannen  See fewer,Members only,Ik Weet Wie Je Bent (2018)
Ido Mosseri Amos Ben Soussan  Amos Ben Soussan  See fewer,Members only,You Don't Mess with the Zohan (2008)
Patrick Timsit Serge Jablonski  Serge Jablonski  See fewer,Members only,Quasimodo d'El Paris (1999)
Manu Payet Mischka  Mischka  See fewer,Members only,Relationship Status: It's Complicated (2014)
Mike Meijer Willem  Willem  See fewer,Members only,Vuurzee (2005)
Baloo Oussmane  Oussmane  See fewer,Members only,Tejaa (1990)
Ergun Simsek Mehmet  Mehmet  See fewer,Members only,Undercover (2015)
Talid Ariss Jonas Jablonski  Jonas Jablonski  See fewer,Members only,Les Chamois (2017)
Dennis Reinsma Anton Van Tannen  Anton Van Tannen  See fewer,Members only,Midden in De Winternacht (2013)
Bas Keijzer Istok (as Baastian Keijzer)  Istok (as Baastian Keijzer)  See fewer,Members only,Kill Switch (I) (2017)
Seno Sever Souleymane  Souleymane  See fewer,Members only,Fenix (2018)
Hervé Briaux Examinateur  Examinateur  See fewer,Members only,Renoir (2012)
Frédéric Darie Prof amphi 1  Prof amphi 1  See fewer,Members only,Le Cri (I) (2016)
Bruno Dondero Prof amphi 2  Prof amphi 2  See fewer,Members only,Gangsterdam (2017)
Floor Rolf Hôtesse accueil villa  Hôtesse accueil villa  See fewer,Members only,Bro's Before Ho's (2013)
Marie-Christine Letort Doyenne fac  Doyenne fac  See fewer,Members only,Les Dames (2010)
Augustin Bouchacourt Etudiant bibliothèque  Etudiant bibliothèque  See fewer,Members only,Research Unit (2006)
Sacha Belissa Etudiant avec jewfro  Etudiant avec jewfro  See fewer,Members only,Gangsterdam (2017)
Sylvain Vèche Policier fac  Policier fac  See fewer,Members only,Gangsterdam (2017)
Alexandre de Seze Douanier train  Douanier train  See fewer,Members only,A Prophet (2009)
Stacyian Jackson Prostituée vitrine  Prostituée vitrine  See fewer,Members only,Het Hart van Hadiah Tromp (2018)
Jina Djemba Chanel  Chanel  See fewer,Members only,Elle (I) (2016)
Frans de Wit Videur 1  Videur 1  See fewer,Members only,Grijpstra & de Gier (2004)
Edo Brunner Videur 2  Videur 2  See fewer,Members only,Dennis P. (2007)
Georges Devdariani Gangster russe  Gangster russe  See fewer,Members only,Tij (2009)
Tim Linde Serveur coffee-shop  Serveur coffee-shop  See fewer,Members only,Malaika (2013)
Roy Verlaat Chanteur fête  Chanteur fête  See fewer,Members only,Gangsterdam (2017)
Audrey Reuter Copine Jonas  Copine Jonas  See fewer,Members only,Gangsterdam (2017)
Kristel Verbakel Gouvernante Van Tannen  Gouvernante Van Tannen  See fewer,Members only,Chez Nous (2013)
Elena Pearl Lévy Femme de gangster  Femme de gangster  See fewer,Members only,Gangsterdam (2017)
Brian Ligthart Gangster  Gangster  See fewer,Members only,Het Pieten Duo en de Verdwenen Pakjes (2015)
Anthony Ross Barman  Barman  See fewer,Members only,Where Horses Go to Die (2016)
Jasper de Groot Figuratie (uncredited)  Figuratie (uncredited)  See fewer,Members only,Centraal Medisch Centrum (2016)
Allard Geerlings Garde du corps russe (uncredited)  Garde du corps russe (uncredited)  See fewer,Members only,The Adulterer (2011)
Ton Schepen Garde du corps (uncredited)  Garde du corps (uncredited)  See fewer,Members only,Layla M. (2016)
Andrew Vandaele Invité (uncredited)  Invité (uncredited)  See fewer,Members only,8 (Eight) (2018)
Pim Vesters Invité (uncredited)  Invité (uncredited)  See fewer,Members only,Taart (2014)
