Name,STARmeter,Known for
Eric McCormack Dr. Ted Lewis / Urp  Dr. Ted Lewis / Urp  See fewer,Top 5000,Will & Grace (1998)
Jenni Baird Tammy  Tammy  See fewer,Members only,The 4400 (2004)
Dan Lauria Chief Dawson  Chief Dawson  See fewer,Members only,The Spirit (2008)
Robert Patrick Vern  Vern  See fewer,Top 5000,Terminator 2: Judgment Day (1991)
Jody Thompson Lana  Lana  See fewer,Members only,The 4400 (2004)
Aaron Brooks Cody  Cody  See fewer,Members only,Bad City (2014)
Sarah Smyth Penny  Penny  See fewer,Members only,Bad Times at the El Royale (2018)
Andrew Dunbar Dick  Dick  See fewer,Members only,Dragged Across Concrete (2018)
Sage Brocklebank Stu  Stu  See fewer,Members only,Psych (2006)
Tom McBeath Wilson  Wilson  See fewer,Members only,Aliens vs. Predator: Requiem (2007)
Vincent Gale Stiles  Stiles  See fewer,Members only,Firewall (2006)
Jerry Wasserman Sam  Sam  See fewer,Members only,"I, Robot (2004)"
Jonathon Young Lloyd (as Jonathan Young)  Lloyd (as Jonathan Young)  See fewer,Members only,Sanctuary (2008)
Michael Roberds Bubba  Bubba  See fewer,Members only,Elf (2003)
Laura Carswell Laura (as Laura Konechny)  Laura (as Laura Konechny)  See fewer,Members only,What Goes Up (2009)
Darren Rizzolo Tommy  Tommy  See fewer,Members only,Scary Movie 4 (2006)
Christina Schild Darlene  Darlene  See fewer,Members only,Tooth Fairy (I) (2010)
James Swift Reporter  Reporter  See fewer,Members only,Trail of the Screaming Forehead (2007)
Chelah Horsdal Betsy's Mother  Betsy's Mother  See fewer,Top 5000,The Man in the High Castle (2015)
Dayna Reid Betsy  Betsy  See fewer,Members only,Alien Trespass (2009)
Dee Jay Jackson Worker #1  Worker #1  See fewer,Members only,Happy Gilmore (1996)
Dean Moen Worker #2  Worker #2  See fewer,Members only,The Imaginarium of Doctor Parnassus (2009)
Aaron Craven Car Owner  Car Owner  See fewer,Members only,The Predator (2018)
Daniella Evangelista Greasers Girlfriend  Greasers Girlfriend  See fewer,Members only,Edgemont (2000)
Justin Dickinson Greaser  Greaser  See fewer,Members only,Growing Up (2008)
Julia Arkos Panicked Woman  Panicked Woman  See fewer,Members only,Saved! (2004)
Jovan Nenadic Ghota  Ghota  See fewer,Members only,"I, Robot (2004)"
Roy Campsall Alien Urp  Alien Urp  See fewer,Members only,The Cabin in the Woods (2011)
Tom Braidwood Ed Sanders  Ed Sanders  See fewer,Members only,The X Files (1998)
"Doolittle Merlin, The Dog  Merlin, The Dog  See fewer",Members only,Fallen (2006)
Jan Bos Interviewer (uncredited)  Interviewer (uncredited)  See fewer,Members only,Apollo 18 (2011)
Andrew Colthart Cinemagoer (uncredited)  Cinemagoer (uncredited)  See fewer,Members only,Watchmen (2009)
Brad Dryborough Jeremy Goldstone (uncredited)  Jeremy Goldstone (uncredited)  See fewer,Members only,The Bug (2002)
Eduardo Noda Cinemagoer (uncredited)  Cinemagoer (uncredited)  See fewer,Members only,Death Is Hereditary (2009)
