Name,STARmeter,Known for
Sandra Hüller Ines Conradi  Ines Conradi  See fewer,Members only,Requiem (2006)
Peter Simonischek Winfried  Winfried  See fewer,Members only,The Interpreter (2018)
Michael Wittenborn Henneberg  Henneberg  See fewer,Members only,Wir sind die Neuen (2014)
Thomas Loibl Gerald  Gerald  See fewer,Members only,Zeit der Helden (2013)
Trystan Pütter Tim  Tim  See fewer,Members only,Anonymous (I) (2011)
Ingrid Bisu Anca  Anca  See fewer,Members only,The Nun (2018)
Hadewych Minis Tatjana  Tatjana  See fewer,Members only,Borgman (2013)
Lucy Russell Steph  Steph  See fewer,Members only,Batman Begins (2005)
Victoria Cocias Flavia  Flavia  See fewer,Members only,The Beheaded Rooster (2007)
Alexandru Papadopol Dascalu  Dascalu  See fewer,Members only,Stuff and Dough (2001)
Victoria Malektorovych Natalja (as Viktoria Malektorovych)  Natalja (as Viktoria Malektorovych)  See fewer,Members only,Blue Moon (2002)
Ingrid Burkhard Annegret  Annegret  See fewer,Members only,The Eremites (2016)
Jürg Löw Gerhard  Gerhard  See fewer,Members only,El suizo - un amour en Espagne (1985)
Ruth Reinecke Renate  Renate  See fewer,Members only,Weissensee (2010)
Nicolas Wackerbarth Coach Leopold  Coach Leopold  See fewer,Members only,Casting (V) (2017)
Mihai Manolache Mann am Ölfeld  Mann am Ölfeld  See fewer,Members only,Forced to Fight (2011)
Radu Bânzaru Bogdan  Bogdan  See fewer,Members only,The Whistleblower (2010)
Niels Bormann Kurierfahrer  Kurierfahrer  See fewer,Members only,Tatort (1970)
Radu Dumitrache Manager Spa  Manager Spa  See fewer,Members only,Toni Erdmann (2016)
Klara Höfels Irma  Irma  See fewer,Members only,Abgeschnitten (2018)
Hartmut Stanke Walter  Walter  See fewer,Members only,Wilhelm Tell (2004)
Hans Löw Oliver  Oliver  See fewer,Members only,In My Room (2018)
Julischka Eichel Babette  Babette  See fewer,Members only,Beloved Sisters (2014)
Lennart Moho Lukas  Lukas  See fewer,Members only,Und dann noch Paula (2015)
Irene Rindje Bärbel  Bärbel  See fewer,Members only,Tiere bis unters Dach (2010)
