Name,STARmeter,Known for
Géza Röhrig Saul Ausländer  Saul Ausländer  See fewer,Members only,To Dust (2018)
Levente Molnár Abraham Warszawski  Abraham Warszawski  See fewer,Members only,Szürke senkik (2016)
Urs Rechn Oberkapo Biederman  Oberkapo Biederman  See fewer,Members only,The King's Surrender (2014)
Todd Charmont Bearded Prisoner  Bearded Prisoner  See fewer,Members only,The Last of the Mohicans (1992)
Jerzy Walczak Rabbi Frankel  Rabbi Frankel  See fewer,Members only,Television Theater (1953)
Gergö Farkas Saul's Son  Saul's Son  See fewer,Members only,Swing (I) (2014)
Balázs Farkas Saul's Son  Saul's Son  See fewer,Members only,Randevú (2006)
Sándor Zsótér Dr. Miklos Nyiszli  Dr. Miklos Nyiszli  See fewer,Members only,White God (2014)
Marcin Czarnik Feigenbaum  Feigenbaum  See fewer,Members only,The Reverse (2009)
Levente Orbán Russian Prisoner  Russian Prisoner  See fewer,Members only,Kojot (2017)
Kamil Dobrowolski Mietek  Mietek  See fewer,Members only,Orzel. Ostatni patrol (2020)
Uwe Lauer Oberscharführer Voss  Oberscharführer Voss  See fewer,Members only,Land of Storms (2014)
Christian Harting Oberscharführer Busch  Oberscharführer Busch  See fewer,Members only,Sunset (2018)
Attila Fritz Yankl (Young Prisoner)  Yankl (Young Prisoner)  See fewer,Members only,On Body and Soul (2017)
Mihály Kormos Schlojme  Schlojme  See fewer,Members only,The Turin Horse (2011)
Márton Ágh Apikoyres (Greek Rabbi)  Apikoyres (Greek Rabbi)  See fewer,Members only,Jupiter's Moon (2017)
Amitai Kedar Hirsch (Gold Collector)  Hirsch (Gold Collector)  See fewer,Members only,Lost and Found (2007)
István Pion Katz  Katz  See fewer,Members only,Sunset (2018)
Juli Jakab Ella  Ella  See fewer,Members only,Nekem Budapest (2013)
Tamás Polgár Landesman  Landesman  See fewer,Members only,Pleasant Days (2002)
Rozi Székely Female Kapo  Female Kapo  See fewer,Members only,On Body and Soul (2017)
Erno Fekete SS Doctor  SS Doctor  See fewer,Members only,Aurora Borealis: Északi fény (2017)
László Somorjai Old Rabbi  Old Rabbi  See fewer,Members only,Son of Saul (2015)
Zsolt Alkay Soldier  Soldier  See fewer,Members only,Son of Saul (2015)
Sandor Altmann  Actor  Actor  See fewer,Members only,Meeting Venus (1991)
Bálint Bagladi Soldier  Soldier  See fewer,Members only,Son of Saul (2015)
Norbert Bagladi Soldier  Soldier  See fewer,Members only,Dear Elza! (2014)
Tamás Bakó Movement artist  Movement artist  See fewer,Members only,Chameleon (2008)
Zoltán Bathó Soldier  Soldier  See fewer,Members only,129 (2020)
Gyula Berger Movement artist  Movement artist  See fewer,Members only,Son of Saul (2015)
Anna Biczók Movement artist  Movement artist  See fewer,Members only,Sunset (2018)
Arnaud Blondel Movement artist  Movement artist  See fewer,Members only,Sunset (2018)
János Tibor Boldizsár  Actor  Actor  See fewer,Members only,Son of Saul (2015)
Gábor Bora Movement artist  Movement artist  See fewer,Members only,Sunset (2018)
Tamás Brán Soldier  Soldier  See fewer,Members only,Son of Saul (2015)
Mendy Cahan Sonderkommando Member  Sonderkommando Member  See fewer,Members only,Haya O Lo Haya (2003)
Marcio Canabarro Movement artist  Movement artist  See fewer,Members only,Son of Saul (2015)
Gyula Cserepes Movement artist  Movement artist  See fewer,Members only,Chameleon (2008)
Zoltán Cservák  Actor  Actor  See fewer,Members only,Sunset (2018)
Márton Csuzi Movement Artist  Movement Artist  See fewer,Members only,Memo (2016)
Eszter Csépai Young girl in female barrack  Young girl in female barrack  See fewer,Members only,Land of Storms (2014)
Emese Cuhorka Movement artist  Movement artist  See fewer,Members only,Sunset (2018)
Márton Debreczeni Movement artist  Movement artist  See fewer,Members only,Sunset (2018)
Dániel Dragos Movement artist  Movement artist  See fewer,Members only,Sunset (2018)
Viktória Dányi Movement artist  Movement artist  See fewer,Members only,Sunset (2018)
Judit Dömötör Movement artist  Movement artist  See fewer,Members only,Kémhatás (2012)
Bea Egyed Movement artist  Movement artist  See fewer,Members only,Sunset (2018)
Péter Fancsikai  Actor  Actor  See fewer,Members only,The Raven (I) (2012)
Bence Farkas Soldier  Soldier  See fewer,Members only,Son of Saul (2015)
Dávid Fodor  Actor  Actor  See fewer,Members only,Question in Details (2010)
Péter Forgács Soldier  Soldier  See fewer,Members only,Son of Saul (2015)
Csaba Formanek  Actor  Actor  See fewer,Members only,My One and Onlies (2006)
Björn Freiberg Extra  Extra  See fewer,Members only,Terminator: Dark Fate (2019)
Júlia Garai Movement artist  Movement artist  See fewer,Members only,Chameleon (2008)
János György  Actor  Actor  See fewer,Members only,Season of the Witch (2011)
Judit Gál  Actress  Actress  See fewer,Members only,Kythera (2006)
Júlia Hadi Movement artist  Movement artist  See fewer,Members only,Son of Saul (2015)
Tamás Herczeg  Actor  Actor  See fewer,Members only,Easy Living (2015)
Nóra Horváth Movement artist  Movement artist  See fewer,Members only,Sunset (2018)
Heléna Hrotkó Movement artist  Movement artist  See fewer,Members only,Son of Saul (2015)
András Jeles  Actor  Actor  See fewer,Members only,Dream Brigade (1989)
András Kauderer Soldier  Soldier  See fewer,Members only,Son of Saul (2015)
Éva Kelényi  Actress  Actress  See fewer,Members only,Sunset (2018)
Bálint Kenyeres  Actor  Actor  See fewer,Members only,Before Dawn (2005)
Tamás Kiss  Actor  Actor  See fewer,Members only,Dear Elza! (2014)
Gábor Klaus Soldier  Soldier  See fewer,Members only,Son of Saul (2015)
Péter Kocsis Soldier  Soldier  See fewer,Members only,Son of Saul (2015)
Fotisz Kollátosz  Actor  Actor  See fewer,Members only,Son of Saul (2015)
