Name,STARmeter,Episodes,Known for
Anson Mount Black Bolt  Black Bolt  See fewer,Top 5000,8,Crossroads (I) (2002)
Serinda Swan Medusa  Medusa  See fewer,Top 5000,8,Percy Jackson & the Olympians: The Lightning Thief (2010)
Ken Leung Karnak  Karnak  See fewer,Members only,8,The Sopranos (1999)
Eme Ikwuakor Gorgon  Gorgon  See fewer,Members only,8,On My Block (2018)
Isabelle Cornish Crystal  Crystal  See fewer,Members only,8,Puberty Blues (2012)
Ellen Woglom Louise  Louise  See fewer,Members only,8,Californication (2007)
Iwan Rheon Maximus  Maximus  See fewer,Top 5000,8,Game of Thrones (2011)
Sonya Balmores Auran  Auran  See fewer,Members only,8,Den of Thieves (2018)
Henry Ian Cusick Dr. Evan Declan  Dr. Evan Declan  See fewer,Top 5000,6,Lost (2004)
Ari Dalbert Bronaja  Bronaja  See fewer,Members only,6,Inhumans (2017)
Krista Alvarez Flora  Flora  See fewer,Members only,6,Hawaii Five-0 (2010)
Aaron Hendry Loyolis  Loyolis  See fewer,Members only,5,Beerfest (2006)
Marco Rodríguez Kitang  Kitang  See fewer,Members only,4,Cobra (1986)
Faleolo Alailima Sammy  Sammy  See fewer,Members only,4,The Hangover (2009)
Michael Buie King Agon  King Agon  See fewer,Members only,4,Bombshell (2019)
Bridger Zadina Mordis  Mordis  See fewer,Members only,4,Bosch (2014)
Tanya Clarke Queen Rynda  Queen Rynda  See fewer,Top 5000,4,A Beautiful Mind (2001)
Ptolemy Slocum Tibor  Tibor  See fewer,Members only,4,Westworld (2016)
Lofton Shaw Young Black Bolt  Young Black Bolt  See fewer,Members only,4,Buried Secrets (2018)
Chad James Buchanan Dave  Dave  See fewer,Members only,4,Star (2016)
Mike Moh Triton  Triton  See fewer,Members only,3,Once Upon a Time in Hollywood (2019)
Ty Quiamboa Holo  Holo  See fewer,Members only,3,Hawaii Five-0 (2010)
Tom Wright George Ashland  George Ashland  See fewer,Members only,3,Marked for Death (1990)
Jamie Gray Hyder Jen  Jen  See fewer,Top 5000,3,True Blood (2008)
Michael Trotter Reno  Reno  See fewer,Members only,3,Underground (2016)
Liv Hewson Audrey  Audrey  See fewer,Top 5000,3,Dramaworld (2016)
Moses Goods Eldrac  Eldrac  See fewer,Members only,3,Stones (I) (2009)
Sumire Locus  Locus  See fewer,Members only,3,The Shack (I) (2017)
V.I.P. Young Medusa  Young Medusa  See fewer,Members only,3,Bosch (2014)
Miriam Lucien Serene Inhuman  Serene Inhuman  See fewer,Members only,3,Hawaii Five-0 (2010)
Kala Alexander Makani  Makani  See fewer,Members only,3,Blue Crush (2002)
