Name,STARmeter,Known for
Andy Serkis Caesar  Caesar  See fewer,Top 5000,War for the Planet of the Apes (2017)
Karin Konoval Maurice / Court Clerk  Maurice / Court Clerk  See fewer,Members only,War for the Planet of the Apes (2017)
Terry Notary Rocket / Bright Eyes  Rocket / Bright Eyes  See fewer,Members only,Kong: Skull Island (2017)
Richard Ridings Buck - Ape  Buck - Ape  See fewer,Members only,The Pianist (2002)
Christopher Gordon Koba - Ape (as Chris Gordon)  Koba - Ape (as Chris Gordon)  See fewer,Members only,Mission: Impossible - Fallout (2018)
Devyn Dalton Cornelia - Ape  Cornelia - Ape  See fewer,Members only,The BFG (2016)
Jay Caputo Alpha  Alpha  See fewer,Members only,The Amazing Spider-Man (2012)
James Franco Will Rodman  Will Rodman  See fewer,Top 5000,127 Hours (2010)
Freida Pinto Caroline Aranha  Caroline Aranha  See fewer,Top 5000,Slumdog Millionaire (2008)
John Lithgow Charles Rodman  Charles Rodman  See fewer,Top 5000,3rd Rock from the Sun (1996)
Brian Cox John Landon  John Landon  See fewer,Top 500,X2: X-Men United (2003)
Tom Felton Dodge Landon  Dodge Landon  See fewer,Top 5000,Harry Potter and the Sorcerer's Stone (2001)
David Oyelowo Steven Jacobs  Steven Jacobs  See fewer,Top 5000,Selma (I) (2014)
Tyler Labine Robert Franklin  Robert Franklin  See fewer,Top 5000,Tucker and Dale vs Evil (2010)
Jamie Harris Rodney - Shelter Assistant  Rodney - Shelter Assistant  See fewer,Members only,The Prestige (2006)
Ty Olsson Chief John Hamil  Chief John Hamil  See fewer,Members only,War for the Planet of the Apes (2017)
David Hewlett Hunsiker  Hunsiker  See fewer,Top 5000,The Shape of Water (2017)
Joey Roche Todd Hunsiker  Todd Hunsiker  See fewer,Members only,Windup (2006)
Madison Bell Alice Hunsiker  Alice Hunsiker  See fewer,Members only,Diary of a Wimpy Kid (2010)
Makena Joy Alice Hunsiker (Teen)  Alice Hunsiker (Teen)  See fewer,Members only,Taken Back: Finding Haley (2012)
Kevin O'Grady Animal Control Officer #1  Animal Control Officer #1  See fewer,Members only,Fargo (2014)
Sean Tyson Animal Control Officer #2  Animal Control Officer #2  See fewer,Members only,Supernatural (2005)
Kyle Riefsnyder CHP #1  CHP #1  See fewer,Members only,The A-Team (2010)
Anthony McRae CHP #2  CHP #2  See fewer,Members only,X-Men Origins: Wolverine (2009)
Jesse Reid Donnie Thompson  Donnie Thompson  See fewer,Members only,Watchmen (2009)
BJ Harrison Dottie  Dottie  See fewer,Members only,2012 (I) (2009)
Leah Gibson Party Girl #1  Party Girl #1  See fewer,Members only,The Twilight Saga: Eclipse (2010)
Tracy Spiridakos Party Girl #2  Party Girl #2  See fewer,Top 5000,Revolution (2012)
Ivan Wanis-Ruiz Handler @ Lab #1 (as Ivan Wanis Ruiz)  Handler @ Lab #1 (as Ivan Wanis Ruiz)  See fewer,Members only,End of the Line (2017)
Trevor Carroll Handler @ Lab #2  Handler @ Lab #2  See fewer,Members only,No Reservations (2017)
