Name,STARmeter,Episodes,Known for
Bret Iwan Mickey Mouse / Additional Voices / Skater Boy  Mickey Mouse / Additional Voices / Skater Boy  See fewer,Members only,52.0,Epic Mickey 2: The Power of Two (2012)
Tress MacNeille Daisy Duck / Chip / Additional Voices / Mrs. Beagleman / Audience Woman #1 / …  See more  Daisy Duck / Chip / Additional Voices / Mrs. Beagleman / Audience Woman #1 / Audience Woman #2 / Beagle Crewperson #1 / Beagle Customer / Boy D / Dallas / Dog Owner #3 / Donald Duck / Dry Cleaning Saleswoman / Fan #2 / Female Hotel Guest / Female Shopper #2 / Mrs. Beagleberg / Mrs. Knick Knack / Mustard / Narrator / Old Lady Beagle / Teen #1 / Young Female Fan #1 / Young Female Fan #2  See fewer,Members only,52.0,The Simpsons (1989)
Russi Taylor Minnie Mouse / Clara Cluck / Additional Voices / Mrs. McSnorter / Beagle Crewperson #2 / …  See more  Minnie Mouse / Clara Cluck / Additional Voices / Mrs. McSnorter / Beagle Crewperson #2 / Beagle Teen / Dog Owner #1 / Fan #1 / Girl in Movie / Ketchup  See fewer,Members only,52.0,The Simpsons Movie (2007)
Daniel Ross Donald Duck / Additional Voices / Bean Danowitz / Fan #3 / Slip  Donald Duck / Additional Voices / Bean Danowitz / Fan #3 / Slip  See fewer,Members only,51.0,Joker (I) (2019)
Bill Farmer Goofy / Pluto / Mr. Bigby / Mayor McBeagle / Additional Voices / …  See more  Goofy / Pluto / Mr. Bigby / Mayor McBeagle / Additional Voices / Chef Beagle / Horace Horsecollar / El Horace Horsecollar / Garth / Mr. McBilly / Uncle Goof / Cameraman / Deliveryman / Dog Owner #2 / Ghost Driver / Hawaiian Beagle / Highway Horace / Mugsy / Narrator / Newscaster / Officer Copper  See fewer,Members only,50.0,A Goofy Movie (1995)
Nika Futterman Cuckoo Loca / Mrs. Thunderboom / Additional Voices / Cuckoo La-La / Mimi / …  See more  Cuckoo Loca / Mrs. Thunderboom / Additional Voices / Cuckoo La-La / Mimi / Boy C / Coconut Cuckoo Loca / Cuckoo Angela / Cuckoo Carmen / Cuckoo E. Clair / Cuckoo Loco / Cuckoo Monet / Dog Owner #4 / Ivy Beaglesnoot / Male Shopper #1 / Male Shopper #2 / Relish / Rocket Boy / Woman Catching Pancakes  See fewer,Members only,50.0,Star Wars: The Clone Wars (2008)
Jim Cummings Pete / Additional Voices / Pineapple Patty / Grandpa Kai / Pau Hana Pete / …  See more  Pete / Additional Voices / Pineapple Patty / Grandpa Kai / Pau Hana Pete / Pu Pu Platter Pete / Puhi Pete / Announcer / Beefeater Pete / Bigfoot Beast / Bolero Man / Caesar Du Flan / Captain Peterson / Colonel Pete / Dr. Fozz / Earl / El Toro Pete / Film Clapper Guy / Grandpa Kei / Guy in Movie / Lord Beaglethwait / Mr. Beaglegish / Mr. Thunderboom / Officer Schnauzer / Pancho Pete / Peteroni Leone / Pilot / Piston Pietro / Radio Announcer / Sato / Sir Lord Pete / Sky Commander Peterlovsky / Traffic Cop / Young Man on Airplane  See fewer,Top 5000,39.0,Christopher Robin (2018)
Dee Bradley Baker Additional Voices / Cleo Cluck / Jinx / Groundhog / Lazlo / …  See more  Additional Voices / Cleo Cluck / Jinx / Groundhog / Lazlo / Clifford Cluck / Francisco / Garret / Snowpuff / Baby Gorilla / Beagle Deliveryman / Chicken / Chickens / Cleo / Clifford / Cows / El Marcos / Fish / Garrett / Hawk / Hogs / Humuhumunukunukuapua'a / Jet Ski Beagle / Kitty / Laslo / Nusta / Octopus / Patrice / Pekona / Phoebe / Piglets / Raccoon / Rooster / Salesman / Seagull / Skunk / Skydiving Instructor / Squirrel  See fewer,Members only,37.0,American Dad! (2005)
Jay Leno Billy Beagle  Billy Beagle  See fewer,Members only,33.0,The Tonight Show with Jay Leno (1992)
April Winchell Clarabelle Cow / Hilda / Additional Voices / Baby Chick / Hokulani / …  See more  Clarabelle Cow / Hilda / Additional Voices / Baby Chick / Hokulani / Mama Gorilla / Muumuu Clarabelle / Receptionist  See fewer,Members only,33.0,Who Framed Roger Rabbit (1988)
