Name,STARmeter,Known for
Hugh Jackman Logan / Wolverine  Logan / Wolverine  See fewer,Top 5000,Les Misérables (2012)
James McAvoy Charles Xavier  Charles Xavier  See fewer,Top 500,Filth (I) (2013)
Michael Fassbender Erik Lehnsherr  Erik Lehnsherr  See fewer,Top 500,Shame (2011)
Jennifer Lawrence Raven / Mystique  Raven / Mystique  See fewer,75,The Hunger Games (2012)
Halle Berry Storm  Storm  See fewer,Top 5000,Catwoman (2004)
Nicholas Hoult Hank / Beast  Hank / Beast  See fewer,Top 5000,Mad Max: Fury Road (2015)
Anna Paquin Rogue  Rogue  See fewer,Top 500,The Piano (1993)
Ellen Page Kitty Pryde  Kitty Pryde  See fewer,Top 5000,Juno (2007)
Peter Dinklage Dr. Bolivar Trask  Dr. Bolivar Trask  See fewer,Top 5000,Game of Thrones (2011)
Shawn Ashmore Bobby / Iceman  Bobby / Iceman  See fewer,Top 5000,X2: X-Men United (2003)
Omar Sy Bishop  Bishop  See fewer,Members only,The Intouchables (2011)
Evan Peters Peter / Quicksilver  Peter / Quicksilver  See fewer,Top 5000,X-Men: Apocalypse (2016)
Josh Helman Maj. Bill Stryker  Maj. Bill Stryker  See fewer,Members only,Mad Max: Fury Road (2015)
Daniel Cudmore Colossus  Colossus  See fewer,Members only,X-Men: The Last Stand (2006)
Bingbing Fan Blink  Blink  See fewer,Members only,The Empress of China (2014)
Adan Canto Sunspot  Sunspot  See fewer,Top 5000,Designated Survivor (2016)
Booboo Stewart Warpath  Warpath  See fewer,Top 5000,The Twilight Saga: Breaking Dawn - Part 1 (2011)
Ian McKellen Magneto  Magneto  See fewer,Top 5000,The Lord of the Rings: The Fellowship of the Ring (2001)
Patrick Stewart Professor X  Professor X  See fewer,Top 5000,Logan (2017)
Famke Janssen Jean Grey  Jean Grey  See fewer,Top 500,X-Men: The Last Stand (2006)
James Marsden Scott Summers  Scott Summers  See fewer,Top 5000,Hairspray (2007)
