Name,STARmeter,Known for
Nancy Ellen Abrams Herself  Herself  See fewer,Members only,Coyote (III) (2013)
Rob Adonis Himself  Himself  See fewer,Members only,Kerberos (2010)
Aha Himself  Himself  See fewer,Members only,Hardcore Henry (2015)
Javed Akhtar Himself  Himself  See fewer,Members only,Lagaan: Once Upon a Time in India (2001)
Matthew Alper Himself  Himself  See fewer,Members only,The Nature of Existence Companion Series (2011)
Darryl Anka Himself  Himself  See fewer,Members only,"I, Robot (2004)"
Butch Anthony Himself  Himself  See fewer,Members only,The Nature of Existence Companion Series (2011)
Jon Atack Himself  Himself  See fewer,Members only,The Mythicist Milwaukee Show (2015)
Amiri Baraka Himself  Himself  See fewer,Members only,Bulworth (1998)
Steve Biller Himself  Himself  See fewer,Members only,Snake & Mongoose (2013)
Mehera Blum Herself  Herself  See fewer,Members only,Big Momma's House 2 (2006)
Geoff Bolt Himself  Himself  See fewer,Members only,Mrs. Doubtfire (1993)
Jack Bowen Himself  Himself  See fewer,Members only,Spazz Out! (2013)
Joshua Brown Himself  Himself  See fewer,Members only,Send Proof (2019)
Orson Scott Card  Actor  Actor  See fewer,Members only,Ender's Game (2013)
Richard Carrier Himself  Himself  See fewer,Members only,The God Who Wasn't There (2005)
Richard Dawkins  Actor  Actor  See fewer,Members only,Doctor Who (2005)
Ann Druyan Herself  Herself  See fewer,Members only,Contact (1997)
Stevie Ray Fromstein Himself  Himself  See fewer,Members only,"Two Guys, a Girl and a Pizza Place (1998)"
Sylvester James Gates Jr. Himself  Himself  See fewer,Members only,James Cameron's Story of Science Fiction (2018)
Bobby Gaylor Himself  Himself  See fewer,Members only,Phineas and Ferb (2007)
Daniel Geduld Himself  Himself  See fewer,Members only,The Skeletor Show (2012)
Daniel Gilbert  Actor  Actor  See fewer,Members only,This Emotional Life (2010)
Peter H. Gilmore Himself  Himself  See fewer,Members only,Black Licorice (2019)
Jo Hudson Herself  Herself  See fewer,Members only,Stingers Rule! (2009)
V.S. Bhau Kalchuri Himself  Himself  See fewer,Members only,The Nature of Existence Companion Series (2011)
Irvin Kershner  Actor  Actor  See fewer,Members only,Star Wars: Episode V - The Empire Strikes Back (1980)
Devora Kessin Herself  Herself  See fewer,Members only,The Nature of Existence (2009)
Joe Keyes Himself  Himself  See fewer,Members only,Kiss Kiss Bang Bang (2005)
Scott A. Lukas Himself  Himself  See fewer,Members only,Broken (2019)
Rollo Maughfling Himself  Himself  See fewer,Members only,ITV Lunchtime News (1988)
Tony Muhammad Himself  Himself  See fewer,Members only,The Panty Man (2009)
Zakir Naik Himself  Himself  See fewer,Members only,The Nature of Existence Companion Series (2011)
Andrew Newberg Himself  Himself  See fewer,Members only,What the #$*! Do We (K)now!? (2004)
Larry Niven Himself  Himself  See fewer,Members only,Inconstant Moon
Flip Orley Himself  Himself  See fewer,Members only,The Nature of Existence Companion Series (2011)
King Arthur Pendragon Himself  Himself  See fewer,Members only,The Nature of Existence Companion Series (2011)
Joel R. Primack Himself  Himself  See fewer,Members only,The Nature of Existence Companion Series (2011)
Satyen Raja Himself  Himself  See fewer,Members only,The Abundance Code (2016)
Chloe Anne Revery Herself  Herself  See fewer,Members only,The Nature of Existence Companion Series (2011)
Alan F. Segal Himself  Himself  See fewer,Members only,A Polite Bribe (2013)
Robert Seven Himself  Himself  See fewer,Members only,The Nature of Existence Companion Series (2011)
Sri Sri Ravi Shankar Himself  Himself  See fewer,Members only,Discover the Gift (2010)
Michael Shermer Himself  Himself  See fewer,Members only,Mr. Deity (2006)
Leonard Shlain Himself  Himself  See fewer,Members only,"Connected: An Autoblogography About Love, Death & Technology (2011)"
Jed Smock Himself (as Brother Jed Smock)  Himself (as Brother Jed Smock)  See fewer,Members only,Brother Jed (2010)
Robert C. Solomon Himself  Himself  See fewer,Members only,Waking Life (2001)
David Spergel Himself  Himself  See fewer,Members only,Nova (1974)
Leonard Susskind Himself  Himself  See fewer,Members only,Horizon (I) (1964)
Julia Sweeney  Actress  Actress  See fewer,Members only,It's Pat: The Movie (1994)
John Henry Toney Himself  Himself  See fewer,Members only,The Nature of Existence Companion Series (2011)
David Wark Himself  Himself  See fewer,Members only,Horizon (I) (1964)
Stanford E. Woosley Himself  Himself  See fewer,Members only,The Nature of Existence Companion Series (2011)
David Wulff Himself  Himself  See fewer,Members only,Dinoshark (2010)
