Name,STARmeter,Known for
Ben Winchell Max McGrath  Max McGrath  See fewer,Members only,Feed (2017)
Josh Brener Steel (voice)  Steel (voice)  See fewer,Members only,The Internship (2013)
Maria Bello Molly McGrath  Molly McGrath  See fewer,Top 5000,A History of Violence (2005)
Andy Garcia Dr. Miles Edwards  Dr. Miles Edwards  See fewer,Top 5000,Ocean's Eleven (2001)
Ana Villafañe Sofia Martinez  Sofia Martinez  See fewer,Top 5000,Dostana (2008)
Mike Doyle Jim McGrath  Jim McGrath  See fewer,Members only,The Invitation (I) (2015)
Phillip DeVona Harkins  Harkins  See fewer,Members only,Star (2016)
Billy Slaughter Murphy  Murphy  See fewer,Members only,The Magnificent Seven (2016)
Al Mitchell Dr. Smith  Dr. Smith  See fewer,Members only,Stranger Things (2016)
Lawrence Kao Dr. Lee  Dr. Lee  See fewer,Members only,Wu Assassins (2019)
Brett Gentile Mr. Quinn  Mr. Quinn  See fewer,Members only,Captain America: Civil War (2016)
Jahnee Wallace Student / Thirsty Kid  Student / Thirsty Kid  See fewer,Members only,Sleepy Hollow (2013)
Avis-Marie Barnes Ms. Bernardo  Ms. Bernardo  See fewer,Members only,Jeepers Creepers (2001)
Brandon Larracuente Attentive Kid  Attentive Kid  See fewer,Members only,13 Reasons Why (2017)
Clayton Frey Punk  Punk  See fewer,Members only,The Deuce (2017)
Megan Hayes Stalled Car Woman  Stalled Car Woman  See fewer,Members only,Future Man (2017)
Elizabeth Faith Ludlow Agent Kat Ryan (as Elizabeth Ludlow)  Agent Kat Ryan (as Elizabeth Ludlow)  See fewer,Top 5000,Godzilla: King of the Monsters (2019)
Will Milvid Freshman  Freshman  See fewer,Members only,Sharp Objects (2018)
Adam Poole Control Room Operator  Control Room Operator  See fewer,Members only,Under the Dome (2013)
Devin McGee Scientist #2  Scientist #2  See fewer,Members only,The 5th Wave (2016)
Evan Blakeman NTEK Agent  NTEK Agent  See fewer,Members only,Max Steel (2016)
Asha David NTEK Agent  NTEK Agent  See fewer,Members only,Max Steel (2016)
Adam Gilbride NTEK Agent  NTEK Agent  See fewer,Members only,Max Steel (2016)
Tim Greene NTEK Agent  NTEK Agent  See fewer,Members only,The Sin Seer (2015)
Richard Wes Howren NTEK Agent (as Richard Wesley Howren)  NTEK Agent (as Richard Wesley Howren)  See fewer,Members only,Attack of the Alien Jelly Monsters from the Depths of Uranus (2011)
Khiry Huggins NTEK Agent  NTEK Agent  See fewer,Members only,Melton's Paradise Lost
Brett Kelley NTEK Agent  NTEK Agent  See fewer,Members only,The Choice (I) (2016)
Danielle Levingston NTEK Agent  NTEK Agent  See fewer,Members only,Stingrays (2016)
Brigham McNeely NTEK Agent  NTEK Agent  See fewer,Members only,The Holy Heist
Michael Mercaldi NTEK Agent  NTEK Agent  See fewer,Members only,Murder Calls (2017)
Nicholas Muhar NTEK Agent  NTEK Agent  See fewer,Members only,Max Steel (2016)
Mona Parks NTEK Agent  NTEK Agent  See fewer,Members only,Star Wars: Will of the Force - An Independent Homage Film
Jazmine Torrez NTEK Agent  NTEK Agent  See fewer,Members only,Max Steel (2016)
Ashley McMenamin Baby Max McGrath  Baby Max McGrath  See fewer,Members only,Max Steel (2016)
Emily McMenamin Baby Max McGrath  Baby Max McGrath  See fewer,Members only,Max Steel (2016)
Lontrell Anderson Bully (uncredited)  Bully (uncredited)  See fewer,Members only,A Place Called Home
Rochelle Aycoth Pedestrian (uncredited)  Pedestrian (uncredited)  See fewer,Members only,Haon (2017)
Brad Billups Bully (uncredited)  Bully (uncredited)  See fewer,Members only,The Choice (I) (2016)
Mary Christina Brown NTEK Agent (uncredited)  NTEK Agent (uncredited)  See fewer,Members only,Vigilante Diaries (2016)
Noah Clevenger Bully (uncredited)  Bully (uncredited)  See fewer,Members only,Red Zone (2014)
Emily Grealish Popular Girl (uncredited)  Popular Girl (uncredited)  See fewer,Members only,Red Zone (2014)
Megan Grealish Student (uncredited)  Student (uncredited)  See fewer,Members only,Red Zone (2014)
Clare Halstead Girl on Date (uncredited)  Girl on Date (uncredited)  See fewer,Members only,Goosebumps (2015)
Bailey Ingersoll High School Student (uncredited)  High School Student (uncredited)  See fewer,Members only,Under the Dome (2013)
Julionne Johnson Student (uncredited)  Student (uncredited)  See fewer,Members only,The Strange and Unusual (2014)
Nachele Johnson Student (uncredited)  Student (uncredited)  See fewer,Members only,Paradox of Tales 2: The Royal Wedding (2014)
Kyle Martinez Student / Skater (uncredited)  Student / Skater (uncredited)  See fewer,Members only,Red Zone (2014)
Kaitlyn McCarthy Popular Girl (uncredited)  Popular Girl (uncredited)  See fewer,Members only,Demon Lane
Amijah McEachern Student (uncredited)  Student (uncredited)  See fewer,Members only,But Deliver Us from Evil (2017)
Briana Morell Student (uncredited)  Student (uncredited)  See fewer,Members only,Ellen Degeneres: Can I Have Your Attention Please? (2014)
Gabrielle Morell Student (uncredited)  Student (uncredited)  See fewer,Members only,Ellen Degeneres: Can I Have Your Attention Please? (2014)
Niyi Oni NTEK Agent (uncredited)  NTEK Agent (uncredited)  See fewer,Members only,Bull (2016)
Ebony Wilson Air Force Officer (uncredited)  Air Force Officer (uncredited)  See fewer,Members only,Prelude to Infusco (2014)
