Name,STARmeter,Known for
Shane Jacobson Kenny Smyth  Kenny Smyth  See fewer,Members only,The Bourne Legacy (2012)
Travis Golland Pumper 1  Pumper 1  See fewer,Members only,Kenny's World (2008)
Chris Davis Pat  Pat  See fewer,Members only,Blue Heelers (1994)
Alf Scerri Alf  Alf  See fewer,Members only,Kenny's World (2008)
Hayley Preusker Hayley  Hayley  See fewer,Members only,Kenny (2006)
Saxon Fuller Pumper 2  Pumper 2  See fewer,Members only,Kenny (2006)
Thomas Uerata Pumper 3  Pumper 3  See fewer,Members only,Kenny (2006)
Kevin 'The Captain' Roy Ogston Pumper 4  Pumper 4  See fewer,Members only,Kenny's World (2008)
Glenn Preusker Glenn  Glenn  See fewer,Members only,Kenny's World (2008)
Kevin Roy Pumper 5  Pumper 5  See fewer,Members only,Kenny's World (2008)
Craig Carter Radio DJ (voice)  Radio DJ (voice)  See fewer,Members only,Kenny (2006)
Pete Smith Radio DJ (voice) (as Peter Smith)  Radio DJ (voice) (as Peter Smith)  See fewer,Members only,Bad Eggs (2003)
Adrian Atkinson Air Show Manager  Air Show Manager  See fewer,Members only,Mnemophrenia (2019)
Mark Robertson Robbo  Robbo  See fewer,Members only,Kenny (2006)
Kevin 'Matey' Lee Ogston Pumper 6  Pumper 6  See fewer,Members only,Kenny (2006)
Amanda Wilson Pumper 7  Pumper 7  See fewer,Members only,Home and Away (1988)
Darren Nuttall Man Up Ladder  Man Up Ladder  See fewer,Members only,Macbeth (2015)
Tony Williams Festival Setup Crew 1  Festival Setup Crew 1  See fewer,Members only,Kenny (2006)
Colin Pedlar Festival Setup Crew 2  Festival Setup Crew 2  See fewer,Members only,Kenny (2006)
Sharon Star Macka  Macka  See fewer,Members only,Kenny (2006)
Vicki Musso Ex Wife / Ringless Woman  Ex Wife / Ringless Woman  See fewer,Members only,Tanaka (2002)
Jesse Jacobson Son  Son  See fewer,Members only,Brothers' Nest (2018)
Ronald Jacobson Father  Father  See fewer,Members only,I Love You Too (2010)
David Nugara Boxing Trainer  Boxing Trainer  See fewer,Members only,Kenny (2006)
Greg Mitchell Chest Pointer  Chest Pointer  See fewer,Members only,Mortal Kombat: Armageddon (2006)
Bernard Derriman Businessman  Businessman  See fewer,Members only,Bob's Burgers (2011)
