Name,STARmeter,Known for
Ah-in Yoo Lee Jong-su  Lee Jong-su  See fewer,Members only,Six Flying Dragons (2015)
Steven Yeun Ben (as Yeun Sang-yeop)  Ben (as Yeun Sang-yeop)  See fewer,Top 5000,Okja (2017)
Jong-seo Jun Shin Hae-mi  Shin Hae-mi  See fewer,Members only,Call (2019)
Soo-Kyung Kim Yeon-ju  Yeon-ju  See fewer,Members only,Burning (2018)
Seung-ho Choi Lee Yong-seok  Lee Yong-seok  See fewer,Members only,Spy Nation (2016)
Seong-kun Mun Lawyer  Lawyer  See fewer,Members only,Gyeongmajang ganeun kil (1991)
Bok-gi Min Judge  Judge  See fewer,Members only,Hwayi: A Monster Boy (2013)
Soo-Jeong Lee Prosecutor  Prosecutor  See fewer,Members only,Burning (2018)
Hye-ra Ban Jong-su's Mom  Jong-su's Mom  See fewer,Members only,Romantic Debtors (2010)
Mi-Kyung Cha Hae-mi's Mom  Hae-mi's Mom  See fewer,Members only,Burning (2018)
Bong-ryeon Lee Hae-mi's Sister  Hae-mi's Sister  See fewer,Members only,Okja (2017)
Won-Hyung Jang Won-hyeong  Won-hyeong  See fewer,Members only,Cold Eyes (2013)
Wonhyeong Jang Won-hyeong  Won-hyeong  See fewer,Members only,Something in the Rain (2018)
Seok-Chan Jeon Seok-chan  Seok-chan  See fewer,Members only,Missing Woman (2016)
Joong-ok Lee Patrolman  Patrolman  See fewer,Members only,Train to Busan (2016)
Ja-Yeon Ok Ja-yeon  Ja-yeon  See fewer,Members only,The Beast (2019)
Donald Trump Himself (archive footage) (uncredited)  Himself (archive footage) (uncredited)  See fewer,Top 5000,Ghosts Can't Do It (1989)
