Name,STARmeter,Known for
Carmine Famiglietti Neil Perota  Neil Perota  See fewer,Members only,Amexicano (2007)
Michael Aronov Sacco Valenzia  Sacco Valenzia  See fewer,Members only,The Drop (2014)
Miriam Shor Lara Griffin  Lara Griffin  See fewer,Members only,Hedwig and the Angry Inch (2001)
Sharon Angela Theresa Perota  Theresa Perota  See fewer,Members only,The Sopranos (1999)
Lou Martini Jr. Anthony Lanzo  Anthony Lanzo  See fewer,Members only,The Sopranos (1999)
Susan Varon Connie Perota  Connie Perota  See fewer,Members only,Daredevil (2015)
Fil Formicola Lou Perota  Lou Perota  See fewer,Members only,Splash (1984)
Mike Bocchetti Wayne  Wayne  See fewer,Members only,The Family (I) (2013)
Sophia Antonini Deidre  Deidre  See fewer,Members only,Amexicano (2007)
Danielle Melanie Brown Student  Student  See fewer,Members only,Corn (2004)
Jennifer Michelle Brown Flower Girl  Flower Girl  See fewer,Members only,Law & Order: Special Victims Unit (1999)
Patrick Michael Buckley Vito  Vito  See fewer,Members only,Rosewood (2015)
Gino Cafarelli Dante  Dante  See fewer,Members only,The Irishman (2019)
Susanna Hari Featured  Featured  See fewer,Members only,Amexicano (2007)
Tom Karlya Michael  Michael  See fewer,Members only,A Counter Fancy (1994)
Eric Leffler Lee Dawkins  Lee Dawkins  See fewer,Members only,The Hostage Game (2010)
Marilyn Matarrese Bridesmaid  Bridesmaid  See fewer,Members only,The Americans (2013)
Rich Pecci Carlos  Carlos  See fewer,Members only,The Tick (2017)
Craig Thomas Rivela Guy on Beach  Guy on Beach  See fewer,Members only,The Making of the Mob (2015)
