Name,STARmeter,Known for
Leo Fafard Lou Garou / WolfCop  Lou Garou / WolfCop  See fewer,Members only,Just Friends (I) (2005)
Yannick Bisson Swallows  Swallows  See fewer,Top 5000,Murdoch Mysteries (2008)
Amy Matysio Tina  Tina  See fewer,Members only,Just Friends (I) (2005)
Jonathan Cherry Willie Higgins  Willie Higgins  See fewer,Members only,House of the Dead (2003)
Serena Miller Kat  Kat  See fewer,Members only,Separation Anxiety (2014)
Devery Jacobs Daisy  Daisy  See fewer,Members only,American Gods (2017)
Kris Blackwell Number Two (as Kris 'The Raven' Blackwell)  Number Two (as Kris 'The Raven' Blackwell)  See fewer,Members only,Lingerie Fighting Championships 20: A Midsummer Night's Dream (2015)
Alden Adair Frank  Frank  See fewer,Members only,Workin' Moms (2017)
Warren Bates Scott  Scott  See fewer,Members only,DungeonCrawl (2010)
Victor Lam Bernie  Bernie  See fewer,Members only,Queen City Blowout (2003)
Mark Claxton Coroner  Coroner  See fewer,Members only,Resting Potential
Kevin Allardyce Fire Chief  Fire Chief  See fewer,Members only,The James and Kevin Show (1995)
Matthew Kennedy Driver (as Matthew Ward Kennedy)  Driver (as Matthew Ward Kennedy)  See fewer,Members only,Father's Day (I) (2011)
Conor Sweeney Henchman 1  Henchman 1  See fewer,Members only,Father's Day (I) (2011)
Adam Brooks Henchman 2  Henchman 2  See fewer,Members only,Father's Day (I) (2011)
Jay Robertson Redneck (as Jason Robertson)  Redneck (as Jason Robertson)  See fewer,Members only,The Tall Man (2012)
Martin Blonski Skully  Skully  See fewer,Members only,Juice Pigs (2010)
Gowan Organo (as Lawrence Gowan)  Organo (as Lawrence Gowan)  See fewer,Members only,Navy Seals (1990)
Andrea Solski Hostess  Hostess  See fewer,Members only,15 Keys (2012)
Jennifer Thorp Nurse Nun  Nurse Nun  See fewer,Members only,The Lost Angel (2005)
Laura Abramsen Reporter  Reporter  See fewer,Members only,The Sabbatical (2015)
George Grassick Carl The Bum  Carl The Bum  See fewer,Members only,The Unsaid (2001)
Jessica Hinkson Dr. Ilsa Brundel  Dr. Ilsa Brundel  See fewer,Members only,Point of View (II) (2015)
Brian Dueck Potashers Centre  Potashers Centre  See fewer,Members only,WolfCop (2014)
Wavell Starr Sentry  Sentry  See fewer,Members only,WWE Velocity (2002)
Lindsay Pattison Stripper #1  Stripper #1  See fewer,Members only,Another WolfCop (2017)
Geneviève Dupont Stripper #2  Stripper #2  See fewer,Members only,Another WolfCop (2017)
Starlotte Dresen Dancer #1  Dancer #1  See fewer,Members only,Sleepwalking (2017)
Haley Leach Dancer #2  Dancer #2  See fewer,Members only,Another WolfCop (2017)
Marc Berube Ice Hockey Fan (uncredited)  Ice Hockey Fan (uncredited)  See fewer,Members only,Chokeslam (2016)
Michael Cleland Red neck with mullet (uncredited)  Red neck with mullet (uncredited)  See fewer,Members only,Luxeon
Sam Doyle Brewery foreman (uncredited)  Brewery foreman (uncredited)  See fewer,Members only,The Stakelander (2016)
Noush Habeebkutty Victim at the Hockey Rink (uncredited)  Victim at the Hockey Rink (uncredited)  See fewer,Members only,Betty Boom (2011)
Joel Mamchur Henchman #2 (uncredited)  Henchman #2 (uncredited)  See fewer,Members only,Patient 62 (2016)
Drew Marvick Redneck Hockey Fan (uncredited)  Redneck Hockey Fan (uncredited)  See fewer,Members only,Pool Party Massacre (2017)
Ben Reimer Hockey Fan (uncredited)  Hockey Fan (uncredited)  See fewer,Members only,Gone Tomorrow (2015)
Jodie Riley Hockey Fan (uncredited)  Hockey Fan (uncredited)  See fewer,Members only,SuperGrid (2018)
Kevin Smith Mayor Bubba (uncredited)  Mayor Bubba (uncredited)  See fewer,Top 500,Clerks (1994)
Terra Towers Ice Hockey Fan (uncredited)  Ice Hockey Fan (uncredited)  See fewer,Members only,Patient 62 (2016)
Matt Wilson Infected Ice Hockey Fan (uncredited)  Infected Ice Hockey Fan (uncredited)  See fewer,Members only,The Stakelander (2016)
