Name,STARmeter,Known for
Jessica Chastain Catherine Weldon  Catherine Weldon  See fewer,Top 500,Zero Dark Thirty (2012)
Louisa Krause Loretta  Loretta  See fewer,Members only,Billions (2016)
Boots Southerland Cab Driver NY  Cab Driver NY  See fewer,Members only,No Country for Old Men (2007)
Chaske Spencer Chaska  Chaska  See fewer,Members only,The Twilight Saga: Breaking Dawn - Part 1 (2011)
Ciarán Hinds James McLaughlin (as Ciaran Hinds)  James McLaughlin (as Ciaran Hinds)  See fewer,Top 5000,The Woman in Black (2012)
Kindall Charters Waiter - Sleeping Car  Waiter - Sleeping Car  See fewer,Members only,The Flash (2014)
Sam Rockwell Silas Groves  Silas Groves  See fewer,Top 5000,Moon (2009)
Jacob Browne Waiter - Dining Car  Waiter - Dining Car  See fewer,Members only,Dreamland (I) (2019)
Luce Rains Old Man at Train Station  Old Man at Train Station  See fewer,Members only,Yellowstone (2018)
Rod Rondeaux Indian Robber  Indian Robber  See fewer,Members only,Cowboys & Aliens (2011)
Rulan Tangen Susan McLaughlin  Susan McLaughlin  See fewer,Members only,The New World (2005)
Michael Greyeyes Sitting Bull  Sitting Bull  See fewer,Members only,True Detective (2014)
Monika Crowfoot Seen By The Nation  Seen By The Nation  See fewer,Members only,Chambers (2019)
Debbie Black Lance Old Sioux Woman  Old Sioux Woman  See fewer,Members only,Woman Walks Ahead (2017)
David Midthunder Shell King  Shell King  See fewer,Members only,Hostiles (2017)
Bill Camp General Crook  General Crook  See fewer,Top 5000,12 Years a Slave (2013)
Lyle Sandoval Tracker  Tracker  See fewer,Members only,Woman Walks Ahead (2017)
Rachel Singer Dry Goods Assistant  Dry Goods Assistant  See fewer,Members only,Fight Club (1999)
Ben Ziegler Attacker at Cannonball  Attacker at Cannonball  See fewer,Members only,Enter the Dojo (2011)
Susan Conklin Woman at Cannonball  Woman at Cannonball  See fewer,Members only,The Flock (2007)
Makayah Crowfoot Sioux Child  Sioux Child  See fewer,Members only,Yellowstone (2018)
Sharon Anne Henderson Sioux Woman at Ration Day  Sioux Woman at Ration Day  See fewer,Members only,Scalped
Robert Mirabal Only Man  Only Man  See fewer,Members only,Wolf Dog (2012)
Ben Black Bear Chief  Chief  See fewer,Members only,A Man Called Horse (1970)
Robert Moreno Sr. Thunder  Thunder  See fewer,Members only,Woman Walks Ahead (2017)
Willy RunsAbove Chief Black Bear  Chief Black Bear  See fewer,Members only,Dawn (IV) (2018)
Andersen Kee Indian Policemen  Indian Policemen  See fewer,Members only,In Plain Sight (2008)
Cosme Duarte Indian Policemen  Indian Policemen  See fewer,Members only,The Brave (2017)
Mathieu Szymkowiak Sitting Bull  Sitting Bull  See fewer,Members only,Westworld (2016)
Gary Wellborn Government Offical  Government Offical  See fewer,Members only,Dead Men (2018)
Matthew R. Williams Calvary Officer  Calvary Officer  See fewer,Members only,Logan (2017)
Joleen Baughman Townswoman (uncredited)  Townswoman (uncredited)  See fewer,Members only,Cowboy Drifter (2017)
Richard Beal Townsperson (uncredited)  Townsperson (uncredited)  See fewer,Members only,Longmire (2012)
Stephen Conn Townsperson (uncredited)  Townsperson (uncredited)  See fewer,Members only,Only the Brave (2017)
Rachel de la Torre Townswoman (uncredited)  Townswoman (uncredited)  See fewer,Members only,Voice from an Unmarked Grave (2018)
Lyle DeRose Cavalry Soldier (uncredited)  Cavalry Soldier (uncredited)  See fewer,Members only,Hell or High Water (II) (2016)
Andrea Good Native Villager (uncredited)  Native Villager (uncredited)  See fewer,Members only,Warrior Woman (2011)
Manny Greenfield Government Official (uncredited)  Government Official (uncredited)  See fewer,Members only,Dreamland (I) (2019)
David Hight Cavalry Lt. (uncredited)  Cavalry Lt. (uncredited)  See fewer,Members only,Vermijo (2017)
Rip Lowe Cavalry (uncredited)  Cavalry (uncredited)  See fewer,Members only,Friday Night Lights (2006)
Michael Nouri Karl Valentine (uncredited)  Karl Valentine (uncredited)  See fewer,Members only,The Hidden (1987)
Josh Outzen Cavalry Soldier (uncredited)  Cavalry Soldier (uncredited)  See fewer,Members only,Deadman Standing (2018)
Tami Nichols Reilly Townsperson (uncredited)  Townsperson (uncredited)  See fewer,Members only,When I Held the Key
Rodrigo Tactaquin Ghost Dancer (uncredited)  Ghost Dancer (uncredited)  See fewer,Members only,Longmire (2012)
Brenda Wehle Anna Maria Valentine (uncredited)  Anna Maria Valentine (uncredited)  See fewer,Members only,St. Vincent (2014)
Claire Weinstein Native Woman (uncredited)  Native Woman (uncredited)  See fewer,Members only,Left Behind: Vanished - Next Generation (2016)
David White 1st Lt. US Cavalry (uncredited)  1st Lt. US Cavalry (uncredited)  See fewer,Members only,SGT. Will Gardner (2019)
Denita Wolf Townsperson (uncredited)  Townsperson (uncredited)  See fewer,Members only,Cognitive Psychosis (2018)
