Name,STARmeter,Episodes,Known for
Gottfried John Jochen Epp  Jochen Epp  See fewer,Members only,5.0,Asterix and Obelix vs. Caesar (1999)
Hanna Schygulla Marion Andreas  Marion Andreas  See fewer,Members only,5.0,The Marriage of Maria Braun (1979)
Luise Ullrich Oma Krüger  Oma Krüger  See fewer,Members only,5.0,Annelie (1941)
Werner Finck Gregor Mack  Gregor Mack  See fewer,Members only,5.0,"Der Mann, der nicht nein sagen kann (1938)"
Wolfgang Schenck Franz Miltenberger  Franz Miltenberger  See fewer,Members only,5.0,Effi Briest (1974)
Wolfgang Zerlett Manfred Müller  Manfred Müller  See fewer,Members only,5.0,Es muß nicht immer Kaviar sein (1977)
Rudolf Waldemar Brem Rolf Schwein  Rolf Schwein  See fewer,Members only,5.0,Absolute Evil - Final Exit (2009)
Grigorios Karipidis Guiseppe Giuliano  Guiseppe Giuliano  See fewer,Members only,5.0,Eight Hours Don't Make a Day (1972)
Wolfried Lier Wolf Epp  Wolf Epp  See fewer,Members only,5.0,Trziste senzací (1985)
Hans Hirschmüller Jürgen Graf  Jürgen Graf  See fewer,Members only,5.0,The Merchant of Four Seasons (1972)
Renate Roland Monika  Monika  See fewer,Members only,5.0,Bübchen (1968)
Anita Bucher Käthe Epp  Käthe Epp  See fewer,Members only,5.0,Ali: Fear Eats the Soul (1974)
Karl Scheydt Arbeiter Peter  Arbeiter Peter  See fewer,Members only,5.0,The American Soldier (1970)
Rainer Hauer Werkshallenleiter Volkmar Gross / Werkstellenleiter Volkmar Gross  Werkshallenleiter Volkmar Gross / Werkstellenleiter Volkmar Gross  See fewer,Members only,5.0,World on a Wire (1973)
Andrea Schober Sylvia  Sylvia  See fewer,Members only,5.0,Chinese Roulette (1976)
Herb Andress Rüdiger  Rüdiger  See fewer,Members only,5.0,Enemy Mine (1985)
Thorsten Massinger Manni Andreas  Manni Andreas  See fewer,Members only,5.0,Eight Hours Don't Make a Day (1972)
Irm Hermann Irmgard Erlkönig  Irmgard Erlkönig  See fewer,Members only,5.0,Fünf letzte Tage (1982)
Kurt Raab Harald  Harald  See fewer,Members only,4.0,Why Does Herr R. Run Amok? (1970)
Ruth Drexel Frau Miltenberger  Frau Miltenberger  See fewer,Members only,3.0,Der Bulle von Tölz (1996)
Christine Oesterlein Tante Klara  Tante Klara  See fewer,Members only,2.0,Until the End of the World (1991)
"Brigitte Mira Marions Mutter, Frau Andreas  Marions Mutter, Frau Andreas  See fewer",Members only,1.0,Ali: Fear Eats the Soul (1974)
Peter Gauhe Ernst Friedrich  Ernst Friedrich  See fewer,Members only,1.0,Effi Briest (1974)
Victor Curland Meister Fritz Kretzschmer  Meister Fritz Kretzschmer  See fewer,Members only,1.0,Goya (1969)
Katrin Schaake Vermieterin  Vermieterin  See fewer,Members only,1.0,The Bitter Tears of Petra von Kant (1972)
Klaus Löwitsch Dr. Betram  Dr. Betram  See fewer,Members only,1.0,World on a Wire (1973)
Rudolf Lenz Vermieter Mattes  Vermieter Mattes  See fewer,Members only,1.0,The Story of Vickie (1954)
Hannes Gromball Betrüger  Betrüger  See fewer,Members only,1.0,Ali: Fear Eats the Soul (1974)
Jörg von Liebenfelß Vermieter  Vermieter  See fewer,Members only,1.0,Egmont (1967)
Valeska Gert Die andere Oma  Die andere Oma  See fewer,Members only,1.0,The 3 Penny Opera (1931)
Margit Carstensen Hausfrau  Hausfrau  See fewer,Members only,1.0,The Bitter Tears of Petra von Kant (1972)
Ulli Lommel Peter  Peter  See fewer,Members only,1.0,Factory Cowboys: Working with Warhol (2018)
Eva Mattes Beschwippste Freundin  Beschwippste Freundin  See fewer,Members only,1.0,Enemy at the Gates (2001)
Christiane Jannessen Hausfrau  Hausfrau  See fewer,Members only,1.0,Wir 13 sind 17 (1972)
Doris Mattes Hausfrau  Hausfrau  See fewer,Members only,1.0,Ali: Fear Eats the Soul (1974)
Walter Sedlmayr Witwer  Witwer  See fewer,Members only,1.0,Theodor Hierneis oder Wie man ehem. Hofkoch wird (1972)
Marquard Bohm Standesbeamter  Standesbeamter  See fewer,Members only,1.0,Paradiso: Seven Days with Seven Women (2000)
Gusti Kreissl Hausfrau  Hausfrau  See fewer,Members only,1.0,The Merchant of Four Seasons (1972)
Lilo Pempeit Hausfrau Müller  Hausfrau Müller  See fewer,Members only,1.0,The Marriage of Maria Braun (1979)
Helga Feddersen Bibliothekarin  Bibliothekarin  See fewer,Members only,1.0,Lola (1981)
Heinz Meier Beamter Meier  Beamter Meier  See fewer,Members only,1.0,World on a Wire (1973)
Karl Heinz Vosgerau Redakteur  Redakteur  See fewer,Members only,1.0,Wie ein Blitz (1970)
Peter Chatel Mann in der Anzeigenannahme  Mann in der Anzeigenannahme  See fewer,Members only,1.0,Fox and His Friends (1975)
Peer Raben Zuschauer beim Tischfußball  Zuschauer beim Tischfußball  See fewer,Members only,1.0,2046 (2004)
Ursula Strätz Peters Frau  Peters Frau  See fewer,Members only,1.0,Effi Briest (1974)
Christiane Jansen Hausfrau  Hausfrau  See fewer,Members only,,Es geht nicht ohne Gisela (1951)
Peter Märthesheimer  Actor  Actor  See fewer,Members only,,The Marriage of Maria Braun (1979)
Manfred Seipold Arbeiter Peter (uncredited)  Arbeiter Peter (uncredited)  See fewer,Members only,5.0,The Heart of the Matter (1983)
El Hedi ben Salem Dunkelhäutiger Arbeiter (uncredited)  Dunkelhäutiger Arbeiter (uncredited)  See fewer,Members only,4.0,Ali: Fear Eats the Soul (1974)
