Name,STARmeter,Known for
McCaul Lombardi Keith  Keith  See fewer,Members only,American Honey (2016)
Jim Belushi Carol  Carol  See fewer,Top 5000,Red Heat (1988)
Tom Guiry Aaron  Aaron  See fewer,Members only,The Sandlot (1993)
Zazie Beetz Courtney  Courtney  See fewer,33,Atlanta (2016)
Marin Ireland Kate  Kate  See fewer,Members only,Hell or High Water (II) (2016)
Brieyon Bell-El Marquis  Marquis  See fewer,Members only,Sollers Point (2017)
Everleigh Brenner Jessie  Jessie  See fewer,Members only,Sollers Point (2017)
Lynn Cohen Ladybug  Ladybug  See fewer,Members only,Munich (2005)
Imani Hakim Candace  Candace  See fewer,Members only,Everybody Hates Chris (2005)
Kazy Tauginas Gary  Gary  See fewer,Members only,Standing Eight (2016)
Wass Stevens Wasp  Wasp  See fewer,Members only,Public Morals (2015)
Alyssa Bresnahan Elaine  Elaine  See fewer,Members only,27 Dresses (2008)
Ashley Shelton Kelsey  Kelsey  See fewer,Members only,"Something, Anything (2014)"
Greg Crowe Joe  Joe  See fewer,Members only,Eighth Grade (2018)
Vincent De Paul CCBC Art Instructor  CCBC Art Instructor  See fewer,Members only,Poseidon (2006)
Grace Doughty Kelly  Kelly  See fewer,Members only,Nightmare Next Door (2011)
Kingsley Egei Jehova's Witness  Jehova's Witness  See fewer,Members only,We Ball (2019)
Liam Hughes Fred the Bartender  Fred the Bartender  See fewer,Members only,Pecker (1998)
Micaiah Jones Juice (bouncer)  Juice (bouncer)  See fewer,Members only,The Wire (2002)
Hilary Kacser Rene  Rene  See fewer,Members only,Saving Mr Yamamoto (2012)
Maya Martinez Aurora  Aurora  See fewer,Members only,Cicada (III) (2018)
Benjamin Paul Morris Nightclub Patron  Nightclub Patron  See fewer,Members only,Copycat Killers (2016)
Corey Pack Graveyard Worker  Graveyard Worker  See fewer,Members only,I Like Me (2018)
Carlous Palmer Graveyard Worker  Graveyard Worker  See fewer,Members only,National Treasure: Book of Secrets (2007)
Pete Papageorge Gilbert  Gilbert  See fewer,Members only,Fallout 3 (2008)
Dustin Ray Busy  Busy  See fewer,Members only,Flimsy Company (2018)
Michael J Rogers Mom (as Michael Rogers)  Mom (as Michael Rogers)  See fewer,Members only,Beyond the Black Rainbow (2010)
Felix Stevenson Mr. John  Mr. John  See fewer,Members only,The Wire (2002)
Clayton Teat Nightclub Patron  Nightclub Patron  See fewer,Members only,House of Cards (2013)
