Name,STARmeter,Episodes,Known for
Eric Graise King  King  See fewer,Members only,17,Ghost Draft
Jade Chynoweth Odalie  Odalie  See fewer,Members only,11,300: Rise of an Empire (2014)
Terrence Green Rigo  Rigo  See fewer,Members only,11,Being Mary Jane (2013)
Terayle Hill Marquise Howard / Marquise  Marquise Howard / Marquise  See fewer,Members only,11,Blue Bloods (2010)
Faizon Love Al  Al  See fewer,Members only,11,Friday (1995)
Lauryn Alisa McClain Janelle  Janelle  See fewer,Members only,11,Superstition: The Rule of 3's
Ne-Yo Sage Odom  Sage Odom  See fewer,Members only,11,Battle Los Angeles (2011)
Kendra Oyesanya Poppy  Poppy  See fewer,Members only,11,AJ and the Queen (2019)
Naya Rivera Collette Jones  Collette Jones  See fewer,Top 5000,11,Glee (2009)
Petrice Jones Tal  Tal  See fewer,Members only,10,Stan Lee's Lucky Man (2016)
Marcus Emanuel Mitchell Donre  Donre  See fewer,Members only,10,High Strung (2016)
Carlito Olivero Davis  Davis  See fewer,Members only,10,East Los High (2013)
R. Marcos Taylor East-O  East-O  See fewer,Members only,10,Straight Outta Compton (2015)
Ny'Jal Blair Production Assistant  Production Assistant  See fewer,Members only,10,Greenleaf (2016)
Jeremy Copeland Zo  Zo  See fewer,Members only,10,Hall American: Forbidden (2018)
Paige Fralix Paige / Sophomore Dancer  Paige / Sophomore Dancer  See fewer,Members only,8,Honey: Rise Up and Dance (2018)
Ivan A. Gomez Freshman Dancer / Tour Dancer / Lucky Dancer  Freshman Dancer / Tour Dancer / Lucky Dancer  See fewer,Members only,7,"Love, Simon (2018)"
Cruz Abelita Justin  Justin  See fewer,Members only,6,Words on Bathroom Walls
Carl Anthony Payne II Reggie Baker  Reggie Baker  See fewer,Members only,5,Martin (1992)
Al Calderon Johnny One  Johnny One  See fewer,Members only,5,Detachment (2011)
Saidah Nairobi Electra  Electra  See fewer,Members only,4,A Beautiful Soul (2012)
David Dunston Bodygaurd / Security / Shoe Store Customer  Bodygaurd / Security / Shoe Store Customer  See fewer,Members only,3,Escape Plan 2: Hades (2018)
Brian Kayode-Patrick Johnson Donre Home Boy  Donre Home Boy  See fewer,Members only,3,Neighbors 2: Sorority Rising (2016)
Erick Nathan Sophomore Dancer #1  Sophomore Dancer #1  See fewer,Members only,3,"Love, Simon (2018)"
Diesel Madkins Uncle Matty  Uncle Matty  See fewer,Members only,3,Venom (2018)
Jeremy Anderson Annoying Customer  Annoying Customer  See fewer,Members only,2,The Fate of the Furious (2017)
Jonathan Fritschi Cut Dancer / Trevor  Cut Dancer / Trevor  See fewer,Members only,2,Kill the Messenger (2014)
