Name,STARmeter,Known for
Tiger Hu Chen 'Tiger' Chen Lin Hu  'Tiger' Chen Lin Hu  See fewer,Members only,The Matrix Reloaded (2003)
Keanu Reeves Donaka Mark  Donaka Mark  See fewer,54,The Matrix (1999)
Karen Mok Inspector Suen Jing Si  Inspector Suen Jing Si  See fewer,Members only,Fallen Angels (1995)
Hai Yu Master Yang  Master Yang  See fewer,Members only,Shaolin (2011)
Qing Ye Ching Sha  Ching Sha  See fewer,Members only,Brotherhood of Blades (2014)
Simon Yam Superintendent Wong  Superintendent Wong  See fewer,Members only,Lara Croft Tomb Raider: The Cradle of Life (2003)
Yasuyuki Hirata Thin Man  Thin Man  See fewer,Members only,The Disguiser (2015)
Brian Siswojo Gong Au Young  Gong Au Young  See fewer,Members only,Firestorm (2013)
Michael Tong Shek Kuan  Shek Kuan  See fewer,Members only,The Purple House (2011)
Sam Lee De-Ming  De-Ming  See fewer,Members only,Made in Hong Kong (1997)
Jiulong Guo Old Commentator  Old Commentator  See fewer,Members only,Curse of the Golden Flower (2006)
Huang Jiang Xiang Young Commentator  Young Commentator  See fewer,Members only,Man of Tai Chi (2013)
Zihan Xia Li Hung  Li Hung  See fewer,Members only,My Dear Elephant (2019)
Sung-jun Yoo Chi Tak  Chi Tak  See fewer,Members only,Little Big Soldier (2010)
Iko Uwais Gilang Sunjaya  Gilang Sunjaya  See fewer,Top 5000,The Raid: Redemption (2011)
Troy Sandford Chi Tak Opponent  Chi Tak Opponent  See fewer,Members only,The Tattooist (2018)
Kun Ju Chou Ping (Southern Fist)  Chou Ping (Southern Fist)  See fewer,Members only,The Expendables (2010)
Jeremy Marinas MMA  MMA  See fewer,Members only,Teenage Mutant Ninja Turtles (2014)
Brahim Chab Taekwondo Fighter (as Brahim Achabbakhe)  Taekwondo Fighter (as Brahim Achabbakhe)  See fewer,Members only,Ek Tha Tiger (2012)
Alain Ngalani Boxer  Boxer  See fewer,Members only,Chasing Dream (2019)
'Zha Ka' Han Feixing Mongolian  Mongolian  See fewer,Members only,Man of Tai Chi (2013)
Ocean Hou Hard Style  Hard Style  See fewer,Members only,The Blood Bond (2011)
'Big Bear' Yin Chun Xiong Zi-Long (San Shou)  Zi-Long (San Shou)  See fewer,Members only,Man of Tai Chi (2013)
Chen Chao Zi-Hou  Zi-Hou  See fewer,Members only,Ip Man 3 (2015)
Li Xingping Zi-An  Zi-An  See fewer,Members only,The Grandmaster (2013)
Jun He Liu Gi (Crane)  Liu Gi (Crane)  See fewer,Members only,The Day After Tomorrow (2004)
Silvio Simac Uri Romanov  Uri Romanov  See fewer,Members only,Transporter 3 (2008)
Haifeng Ni Dragon Shape (as Ni Haifeng)  Dragon Shape (as Ni Haifeng)  See fewer,Members only,The Mummy: Tomb of the Dragon Emperor (2008)
Hao Yang UPCS Director  UPCS Director  See fewer,Members only,Man of Tai Chi (2013)
Wen Huan Liu Courier Co. Manager  Courier Co. Manager  See fewer,Members only,Saving General Yang (2013)
Min Zhou Landlady  Landlady  See fewer,Members only,King of Peking (2017)
Tan Wei Ya Mr. Chen  Mr. Chen  See fewer,Members only,Man of Tai Chi (2013)
Yu Na Mrs. Chen  Mrs. Chen  See fewer,Members only,The Guest (III) (2016)
Xiao Wang Lawyer  Lawyer  See fewer,Members only,The Mummy: Tomb of the Dragon Emperor (2008)
Wu Yong Tai Shopkeeper  Shopkeeper  See fewer,Members only,Man of Tai Chi (2013)
Chengqi Gong Coach  Coach  See fewer,Members only,Three Kingdoms (2008)
Xiao Dong Zhao New Delivery Guy  New Delivery Guy  See fewer,Members only,Man of Tai Chi (2013)
Wu Ming Referee #1  Referee #1  See fewer,Members only,Man of Tai Chi (2013)
Jiang Wei Referee #2  Referee #2  See fewer,Members only,Strangers Meet on the Way (2001)
Michael Chan Police Officer #1 (voice)  Police Officer #1 (voice)  See fewer,Members only,Love Stalk (2016)
Steven Dasz Vip audience (uncredited)  Vip audience (uncredited)  See fewer,Members only,Ek Tha Tiger (2012)
Hélène Siwan Leclerc Female Announcer (uncredited)  Female Announcer (uncredited)  See fewer,Members only,Beach Spike (2011)
Woo-Ping Yuen Man at fight club (uncredited)  Man at fight club (uncredited)  See fewer,Members only,"Crouching Tiger, Hidden Dragon (2000)"
