Name,STARmeter,Known for
Ajay Devgn Guddu  Guddu  See fewer,Members only,Shivaay (2016)
Madhuri Dixit Bindu  Bindu  See fewer,Members only,Devdas (I) (2002)
Anil Kapoor Avinash Patel  Avinash Patel  See fewer,Members only,Slumdog Millionaire (2008)
Riteish Deshmukh Lallan  Lallan  See fewer,Members only,Ek Villain (2014)
Arshad Warsi Adi  Adi  See fewer,Members only,Munna Bhai M.B.B.S. (2003)
Javed Jaffrey Manav  Manav  See fewer,Members only,Salaam Namaste (2005)
Esha Gupta Prachi  Prachi  See fewer,Members only,Jannat 2 (2012)
Boman Irani Commissioner AP Mullick  Commissioner AP Mullick  See fewer,Members only,3 Idiots (2009)
Sanjay Mishra Jonny  Jonny  See fewer,Members only,Dilwale (2015)
Vijay Patkar Mullick's Assistant  Mullick's Assistant  See fewer,Members only,Chashme Bahaddar (2006)
Pitobash Jhingur  Jhingur  See fewer,Members only,Million Dollar Arm (2014)
Mahesh Manjrekar Chinnaswamy  Chinnaswamy  See fewer,Members only,Slumdog Millionaire (2008)
Ali  Actor  Actor  See fewer,Members only,Pokiri (2006)
Crystal Monkey  Monkey  See fewer,Members only,Total Dhamaal (2019)
Pradeep Kabra Tony  Tony  See fewer,Members only,Dilwale (2015)
Sudesh Lehri Altaf  Altaf  See fewer,Members only,Jai Ho (I) (2014)
Johnny Lever Jhingur  Jhingur  See fewer,Members only,Kuch Kuch Hota Hai (1998)
Ashwin Mushran  Actor  Actor  See fewer,Members only,Sanju (2018)
Manoj Pahwa Pintoo  Pintoo  See fewer,Members only,Mulk (I) (2018)
Niharica Raizada  Actress  Actress  See fewer,Members only,The Perfect Murder (2019)
Besant Ravi Chinaswamy's Henchmen  Chinaswamy's Henchmen  See fewer,Members only,Chennai Express (2013)
Jackie Shroff Voice over in the car (When Guddu drives a card)  Voice over in the car (When Guddu drives a card)  See fewer,Members only,Devdas (I) (2002)
Sonakshi Sinha Dancer on Mungda song  Dancer on Mungda song  See fewer,Members only,Dabangg (2010)
Martha Taylor Dancer  Dancer  See fewer,Members only,Housefull 4 (2019)
Teetu Verma Doctor (Promo)  Doctor (Promo)  See fewer,Members only,Waah Zindagi
Rajpal Yadav Munna  Munna  See fewer,Members only,Kal Ho Naa Ho (2003)
