Name,STARmeter,Episodes,Known for
André Dussollier Narrator / Récitant  Narrator / Récitant  See fewer,Members only,13,Tell No One (2006)
Theodoros Angelopoulos Himself  Himself  See fewer,Members only,4,Landscape in the Mist (1988)
Michel Jobert Himself  Himself  See fewer,Members only,4,Face à France (1987)
George Steiner Himself  Himself  See fewer,Members only,4,"Human, All Too Human (1999)"
Daniel Andler Himself  Himself  See fewer,Members only,3,L'héritage de la chouette (1990)
Kostas Axelos Himself  Himself  See fewer,Members only,3,Paths of Thought (1999)
Catherine Belkhodja  Actress  Actress  See fewer,Members only,3,La chanson du mal aimé (1981)
Linos Benakis Himself  Himself  See fewer,Members only,3,L'héritage de la chouette (1990)
Richard Bennett Himself  Himself  See fewer,Members only,3,L'héritage de la chouette (1990)
Christiane Bron Herself  Herself  See fewer,Members only,3,L'héritage de la chouette (1990)
Cornelius Castoriadis  Actor  Actor  See fewer,Members only,3,L'héritage de la chouette (1990)
Sophie Chauveau  Actress  Actress  See fewer,Members only,3,Vol de nuit (1999)
Dimitri Delis Himself  Himself  See fewer,Members only,3,L'héritage de la chouette (1990)
Patrick Descamps Himself  Himself  See fewer,Members only,3,One (2002)
Marcel Detienne Himself  Himself  See fewer,Members only,3,Ulysse clandestin ou les dérives identitaires (2012)
Françoise Frontisi-Ducroux Herself  Herself  See fewer,Members only,3,L'héritage de la chouette (1990)
Kostas Georgousopoulos Himself  Himself  See fewer,Members only,3,To theatro tis Defteras (1970)
Mark Griffith Himself  Himself  See fewer,Members only,3,L'héritage de la chouette (1990)
David Halperin Himself  Himself  See fewer,Members only,3,L'héritage de la chouette (1990)
Mina Himona  Actress  Actress  See fewer,Members only,3,The Noose (1987)
Angélique Ionatos Herself  Herself  See fewer,Members only,3,Selon Rachel (2005)
Viatcheslav Ivanov Himself  Himself  See fewer,Members only,3,L'héritage de la chouette (1990)
Lee Kaminski Himself  Himself  See fewer,Members only,3,L'héritage de la chouette (1990)
Lika Kavzharadze  Actress  Actress  See fewer,Members only,3,Rotsa akvavda nushi (1972)
Elia Kazan  Actor  Actor  See fewer,Members only,3,On the Waterfront (1954)
Nancy Laughlin Herself  Herself  See fewer,Members only,3,L'héritage de la chouette (1990)
François Lissarrague Himself  Himself  See fewer,Members only,3,L'héritage de la chouette (1990)
Baltasar Lopes Himself  Himself  See fewer,Members only,3,L'héritage de la chouette (1990)
Otar Lordkipanidzé Himself  Himself  See fewer,Members only,3,L'héritage de la chouette (1990)
Merab Mamardachvili Himself  Himself  See fewer,Members only,3,L'héritage de la chouette (1990)
Fouli Manelopoulos Himself  Himself  See fewer,Members only,3,L'héritage de la chouette (1990)
Guivi Margvelachvili Himself  Himself  See fewer,Members only,3,L'héritage de la chouette (1990)
Roberto Matta Himself  Himself  See fewer,Members only,3,Pablo Picasso: The Legacy of a Genius (1981)
Melina Mercouri Herself  Herself  See fewer,Members only,3,Never on Sunday (1960)
Spiros Mercouris Himself  Himself  See fewer,Members only,3,Oi poiites tragoudoun stin Ellada (1990)
Alexis Minotis Himself  Himself  See fewer,Members only,3,Land of the Pharaohs (1955)
Oswyn Murray Himself  Himself  See fewer,Members only,3,L'héritage de la chouette (1990)
Michael Nagler Himself  Himself  See fewer,Members only,3,L'héritage de la chouette (1990)
Yukio Ninagawa  Actor  Actor  See fewer,Members only,3,The Blue Light (2003)
Tatiana Papamashou  Actress  Actress  See fewer,Members only,3,L'héritage de la chouette (1990)
Amy Phillips  Actress  Actress  See fewer,Members only,3,L'héritage de la chouette (1990)
Marios Ploritis Himself  Himself  See fewer,Members only,3,To theatro tis Defteras (1970)
Thomas Rosenmayer Himself  Himself  See fewer,Members only,3,L'héritage de la chouette (1990)
Mihalis Sakellariou Himself  Himself  See fewer,Members only,3,"The Mediterranean, the Greek Lake - Magna Graecia (2010)"
Renate Schleisser Herself  Herself  See fewer,Members only,3,L'héritage de la chouette (1990)
Alain Schnapp Himself  Himself  See fewer,Members only,3,Vive l'histoire! (1981)
Michel Serres Himself  Himself  See fewer,Members only,3,L'enfant hors-taxes (1997)
Giulia Sissa Herself  Herself  See fewer,Members only,3,La grande librairie (2008)
Manuela Smith Herself  Herself  See fewer,Members only,3,L'héritage de la chouette (1990)
Deborah Steiner Herself  Herself  See fewer,Members only,3,L'héritage de la chouette (1990)
Nikos Svoronos Himself  Himself  See fewer,Members only,3,I teleftaiai synentefxi tou Nikou Svoronou (1988)
Leonid Tchelidzé Himself  Himself  See fewer,Members only,3,L'héritage de la chouette (1990)
Evi Touloupa  Actor  Actor  See fewer,Members only,3,L'héritage de la chouette (1990)
Vasilis Vasilikos Himself  Himself  See fewer,Members only,3,Young Aphrodites (1963)
Jean-Pierre Vernant Himself  Himself  See fewer,Members only,3,Paths of Thought (1999)
John Winkler Himself  Himself  See fewer,Members only,3,L'héritage de la chouette (1990)
Iannis Xenakis  Actor  Actor  See fewer,Members only,3,Witchboard (1986)
Atsuhiko Yoshida Herself  Herself  See fewer,Members only,3,L'héritage de la chouette (1990)
Arielle Dombasle Herself  Herself  See fewer,Members only,2,X Femmes (2008)
