Name,STARmeter,Known for
Slyvester Brown Himself - Former Resident  Himself - Former Resident  See fewer,Members only,The Pruitt-Igoe Myth (2011)
Irvin Dagen Himself - St. Louis Housing Authority (archive footage)  Himself - St. Louis Housing Authority (archive footage)  See fewer,Members only,
Elmer Fiedler Himself - Black Jack Baptist Church (archive footage) (as Rev. Elmer Fiedler)  Himself - Black Jack Baptist Church (archive footage) (as Rev. Elmer Fiedler)  See fewer,Members only,
Robert Fishman Himself - Urban Historian  Himself - Urban Historian  See fewer,Members only,The Pruitt-Igoe Myth (2011)
Joseph Heathcott Himself - Urban Historian  Himself - Urban Historian  See fewer,Members only,The Pruitt-Igoe Myth (2011)
Brian King Himself - Former Resident  Himself - Former Resident  See fewer,Members only,The Pruitt-Igoe Myth (2011)
Joyce Ladner Herself - Sociologist  Herself - Sociologist  See fewer,Members only,An Ordinary Hero: The True Story of Joan Trumpauer Mulholland (2013)
Ruby Russell Herself - Former Resident  Herself - Former Resident  See fewer,Members only,The Pruitt-Igoe Myth (2011)
Robert Schuchardt Himself - Zoning Commission Chairman (archive footage) (as Dr. Robert Schuchardt)  Himself - Zoning Commission Chairman (archive footage) (as Dr. Robert Schuchardt)  See fewer,Members only,
Valerie Sills Herself - Former Resident  Herself - Former Resident  See fewer,Members only,The Pruitt-Igoe Myth (2011)
Jacquelyn Williams Herself - Former Resident  Herself - Former Resident  See fewer,Members only,The Pruitt-Igoe Myth (2011)
