Name,STARmeter,Known for
Julius Feldmeier Tore  Tore  See fewer,Members only,Axolotl Overkill (2017)
Sascha Alexander Gersak Benno  Benno  See fewer,Members only,Five Years (2013)
Annika Kuhl Astrid  Astrid  See fewer,Members only,The Baader Meinhof Complex (2008)
Gro Swantje Kohlhof Sanny (as Swantje Kohlhof)  Sanny (as Swantje Kohlhof)  See fewer,Members only,Tatort (1970)
Daniel Michel Eule  Eule  See fewer,Members only,A Cure for Wellness (2016)
Til-Niklas Theinert Dennis  Dennis  See fewer,Members only,Morden im Norden (2012)
Christian Bergmann Klaus  Klaus  See fewer,Members only,The Musketeer (2001)
Nadine Boske Cora  Cora  See fewer,Members only,A Cure for Wellness (2016)
Uwe Dag Berlin Dieter  Dieter  See fewer,Members only,A Most Wanted Man (2014)
Hartmut Lange Bordellbesitzer  Bordellbesitzer  See fewer,Members only,Tatort (1970)
Leoni Schulz Maithe  Maithe  See fewer,Members only,Boundaries (2010)
Laura Lo Zito Lilli  Lilli  See fewer,Members only,Anonymous (I) (2011)
Enno Hesse Jasper  Jasper  See fewer,Members only,Downfall (2004)
Alexander Wipprecht Prediger am Kreuz  Prediger am Kreuz  See fewer,Members only,Ein Wimpernschlag
Torben Lohmann Priester  Priester  See fewer,Members only,Nothing Bad Can Happen (2013)
Katinka Auberger Krankenschwester  Krankenschwester  See fewer,Members only,Schilf (2012)
Christoph Jacobi Arzt  Arzt  See fewer,Members only,Die Deutschen (2008)
Ina Effenberger Komparse  Komparse  See fewer,Members only,Chain (I) (2014)
