Name,STARmeter,Episodes,Known for
Claude Lanzmann Himself - Interviewer  Himself - Interviewer  See fewer,Members only,4,Shoah (1985)
Paula Biren Herself  Herself  See fewer,Members only,1,Shoah (1985)
Ruth Elias Herself  Herself  See fewer,Members only,1,Mengele: The Final Account (1995)
Ada Lichtman Herself  Herself  See fewer,Members only,1,Shoah: Four Sisters (2018)
Hanna Marton Herself  Herself  See fewer,Members only,1,Shoah: Four Sisters (2018)
