Name,STARmeter,Known for
Renée Zellweger Lucy Hill  Lucy Hill  See fewer,Top 500,Chicago (2002)
Harry Connick Jr. Ted Mitchell  Ted Mitchell  See fewer,Top 5000,The Iron Giant (1999)
Siobhan Fallon Hogan Blanche Gunderson  Blanche Gunderson  See fewer,Top 5000,Men in Black (1997)
J.K. Simmons Stu Kopenhafer  Stu Kopenhafer  See fewer,Top 5000,Whiplash (2014)
Mike O'Brien Lars Ulstead  Lars Ulstead  See fewer,Members only,Just Friends (I) (2005)
Frances Conroy Trudy Van Uuden  Trudy Van Uuden  See fewer,Top 500,Six Feet Under (2001)
Ferron Guerreiro Bobbie Mitchell  Bobbie Mitchell  See fewer,Members only,This Is Why We Fight (2013)
James Durham Rob Deitmar  Rob Deitmar  See fewer,Members only,The Haunting in Connecticut (2009)
Robert Small Donald Arling  Donald Arling  See fewer,Members only,Recount (2008)
Wayne Nicklas Harve Gunderson  Harve Gunderson  See fewer,Members only,Capote (2005)
Hilary Carroll Kimberley  Kimberley  See fewer,Members only,2030 CE (2002)
Nancy Drake Flo  Flo  See fewer,Members only,The Hitman Never Dies (2017)
Stewart J. Zully Wallace Miller (as Stewart Zully)  Wallace Miller (as Stewart Zully)  See fewer,Members only,Vice (I) (2018)
Marilyn Boyle Winnie  Winnie  See fewer,Members only,Tommy Boy (1995)
Dan Augusta Billy Gunderson  Billy Gunderson  See fewer,Members only,The Capture of the Green River Killer (2008)
Jimena Hoyos Cathy  Cathy  See fewer,Members only,The Devil Wears Prada (2006)
Suzanne Coy Kiki  Kiki  See fewer,Members only,Thirtysomething (1987)
Ordena Stephens Leslie (as Ordena Stephens-Thompson)  Leslie (as Ordena Stephens-Thompson)  See fewer,Members only,The Umbrella Academy (2019)
Devin McCracken Maurice  Maurice  See fewer,Members only,You Kill Me (2007)
Leif Lynch Albert  Albert  See fewer,Members only,Burn Notice (2007)
Adam Cronan Wes  Wes  See fewer,Members only,Powers (2015)
Tom Wahl Harman  Harman  See fewer,Members only,Ace Ventura: Pet Detective (1994)
Christopher Read Officer Olafsen  Officer Olafsen  See fewer,Members only,Capote (2005)
Peter Jordan Edwin Schuck  Edwin Schuck  See fewer,Members only,The Lazarus Project (2008)
Vanessa Kuzyk Female Reporter  Female Reporter  See fewer,Members only,Full of It (2007)
Matt Kippen Business Man  Business Man  See fewer,Members only,Kim's Convenience (2016)
Ben Beauchemin Waylon (as Benjamin Beauchemin)  Waylon (as Benjamin Beauchemin)  See fewer,Members only,Kim's Convenience (2016)
Kristen Harris Mother in Supermarket  Mother in Supermarket  See fewer,Members only,Before Anything You Say (2016)
Blane Cypurda Boy in Supermarket  Boy in Supermarket  See fewer,Members only,Wrong Turn 4: Bloody Beginnings (2011)
Paul Aldanée Hotel Guest (uncredited)  Hotel Guest (uncredited)  See fewer,Members only,Transporter 2 (2005)
David Astone Prisioner (uncredited)  Prisioner (uncredited)  See fewer,Members only,No Man's Land (2019)
Tracy Beemer Flight Attendant (uncredited)  Flight Attendant (uncredited)  See fewer,Members only,The Lookout (2007)
Cory Cassidy Security Guard (uncredited)  Security Guard (uncredited)  See fewer,Members only,The Good Life (2007)
Ryan DeLong Munck Factory Worker (uncredited)  Munck Factory Worker (uncredited)  See fewer,Members only,Capote (2005)
Joel Edwards Hotel Manager (uncredited)  Hotel Manager (uncredited)  See fewer,Members only,Herman U.S.A. (2001)
Isaac Feldman Attorney (uncredited)  Attorney (uncredited)  See fewer,Members only,Gold Diggers (2013)
Robert Gonzalez-Pino Lawyer (uncredited)  Lawyer (uncredited)  See fewer,Members only,Burn Notice (2007)
Kristina Plisko None (uncredited)  None (uncredited)  See fewer,Members only,Hollywood Hustlers (2015)
Kristen Sawatzky Sales Girl (uncredited)  Sales Girl (uncredited)  See fewer,Members only,The Divide (2011)
Koby Shimada Japanese Ganstar (uncredited)  Japanese Ganstar (uncredited)  See fewer,Members only,Chin up (2004)
Brett Sorensen Pete (uncredited)  Pete (uncredited)  See fewer,Members only,Hybrid (2007)
Ty Wood Hockey Player (uncredited)  Hockey Player (uncredited)  See fewer,Members only,BH90210 (2019)
