Name,STARmeter,Known for
Adèle Haenel Jenny Davin  Jenny Davin  See fewer,Top 5000,Love at First Fight (2014)
Olivier Bonnaud Julien  Julien  See fewer,Members only,So Much for the Winners (2017)
Jérémie Renier Le père de Bryan  Le père de Bryan  See fewer,Members only,In Bruges (2008)
Louka Minnella Bryan  Bryan  See fewer,Members only,Sans soleil
Christelle Cornil La mère de Bryan  La mère de Bryan  See fewer,Members only,Mr. Nobody (2009)
Nadège Ouedraogo La caissière du cybercafé  La caissière du cybercafé  See fewer,Members only,The Extraordinary Journey of the Fakir (2018)
Olivier Gourmet Le fils Lambert  Le fils Lambert  See fewer,Members only,The Minister (2011)
Pierre Sumkay Le père Lambert  Le père Lambert  See fewer,Members only,The Unknown Girl (2016)
Yves Larec Le docteur Habran  Le docteur Habran  See fewer,Members only,Les enquêtes du commissaire Maigret (1967)
Ben Hamidou L'inspecteur Ben Mahmoud  L'inspecteur Ben Mahmoud  See fewer,Members only,"Two Days, One Night (2014)"
Laurent Caron L'inspecteur Bercaro  L'inspecteur Bercaro  See fewer,Members only,Taken (I) (2008)
Fabrizio Rongione Le docteur Riga  Le docteur Riga  See fewer,Members only,"Two Days, One Night (2014)"
Jean-Michel Balthazar Le patient diabétique  Le patient diabétique  See fewer,Members only,The Kid with a Bike (2011)
Thomas Doret Lucas  Lucas  See fewer,Members only,The Kid with a Bike (2011)
Marc Zinga Le proxénète  Le proxénète  See fewer,Members only,Spectre (I) (2015)
Morgan Marinne Le grutier du chantier  Le grutier du chantier  See fewer,Members only,"Two Days, One Night (2014)"
Sabri Ben Moussa Le petit Ilyas  Le petit Ilyas  See fewer,Members only,The Unknown Girl (2016)
Hassaba Halibi La mère d'Ilyas (as Hassiba Halabi)  La mère d'Ilyas (as Hassiba Halabi)  See fewer,Members only,Erased (2012)
Ange-Déborah Goulehi La fille inconnue  La fille inconnue  See fewer,Members only,The Unknown Girl (2016)
Philippe Jeusette L'employé du cimetière  L'employé du cimetière  See fewer,Members only,"Two Days, One Night (2014)"
Kamil Alisultanov Le patient blessé à la jambe  Le patient blessé à la jambe  See fewer,Members only,Occupied (2015)
Timur Magomedgadzhiev L'ami de l'homme blessé à la jambe  L'ami de l'homme blessé à la jambe  See fewer,Members only,"Two Days, One Night (2014)"
Françoise Oriane La patiente au petit chien  La patiente au petit chien  See fewer,Members only,Transferts (2017)
Yoann Zimmer Le patient violent  Le patient violent  See fewer,Members only,Savage (2018)
Eva Zingaro L'amie du patient violent  L'amie du patient violent  See fewer,Members only,Young Ahmed (2019)
Franck Laisné L'ouvrier du chantier  L'ouvrier du chantier  See fewer,Members only,"Two Days, One Night (2014)"
André Gotti Le premier patient  Le premier patient  See fewer,Members only,The Unknown Girl (2016)
Fiona Willemaers La mère du bébé malade  La mère du bébé malade  See fewer,Members only,The Nun (2013)
Lionel Jacquet Le père du bébé malade  Le père du bébé malade  See fewer,Members only,The Unknown Girl (2016)
Pietro Cadet Le bébé malade  Le bébé malade  See fewer,Members only,The Unknown Girl (2016)
Lara Persain La mère de Lucas  La mère de Lucas  See fewer,Members only,"Two Days, One Night (2014)"
Alain Eloy Le père de Lucas  Le père de Lucas  See fewer,Members only,"Two Days, One Night (2014)"
Christophe Querelle L'ami de Lucas  L'ami de Lucas  See fewer,Members only,The Unknown Girl (2016)
Baptiste Sornin L'éducateur (as Batiste Sornin)  L'éducateur (as Batiste Sornin)  See fewer,Members only,"Two Days, One Night (2014)"
Marie-France Granier La grand-mère de Julien  La grand-mère de Julien  See fewer,Members only,The Unknown Girl (2016)
Myriem Akheddiou La collaboratrice du Dr Riga  La collaboratrice du Dr Riga  See fewer,Members only,"Two Days, One Night (2014)"
Nathan Fourquet-Dubart Le collaborateur du Dr Riga  Le collaborateur du Dr Riga  See fewer,Members only,Unit 42 (2017)
Martin Querinjean L'ami de Bryan  L'ami de Bryan  See fewer,Members only,The Unknown Girl (2016)
Valentine Colomb La soeur de Bryan  La soeur de Bryan  See fewer,Members only,The Unknown Girl (2016)
Julie Verbruggen L'infirmière du home  L'infirmière du home  See fewer,Members only,The Unknown Girl (2016)
Mireille Bailly La réceptionniste du home  La réceptionniste du home  See fewer,Members only,The Kid with a Bike (2011)
Elsa Ilari La patiente au panettone  La patiente au panettone  See fewer,Members only,The Unknown Girl (2016)
