Name,STARmeter,Known for
Ben Stiller Alex (voice)  Alex (voice)  See fewer,Top 5000,Zoolander (2001)
Chris Rock Marty (voice)  Marty (voice)  See fewer,Top 5000,Top Five (2014)
David Schwimmer Melman (voice)  Melman (voice)  See fewer,Top 5000,Friends (1994)
Jada Pinkett Smith Gloria (voice)  Gloria (voice)  See fewer,Top 5000,The Matrix Revolutions (2003)
Sacha Baron Cohen Julien (voice)  Julien (voice)  See fewer,Top 5000,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
Cedric the Entertainer Maurice (voice)  Maurice (voice)  See fewer,Members only,Barbershop (2002)
Andy Richter Mort (voice)  Mort (voice)  See fewer,Members only,Madagascar (2005)
Tom McGrath Skipper / First Policeman (voice)  Skipper / First Policeman (voice)  See fewer,Members only,Madagascar (2005)
Frances McDormand Captain Chantal Dubois (voice)  Captain Chantal Dubois (voice)  See fewer,Top 5000,"Three Billboards Outside Ebbing, Missouri (2017)"
Jessica Chastain Gia (voice)  Gia (voice)  See fewer,Top 500,Zero Dark Thirty (2012)
Bryan Cranston Vitaly (voice)  Vitaly (voice)  See fewer,Top 500,Breaking Bad (2008)
Martin Short Stefano (voice)  Stefano (voice)  See fewer,Top 5000,The Santa Clause 3: The Escape Clause (2006)
Chris Miller Kowalski (voice)  Kowalski (voice)  See fewer,Members only,Penguins of Madagascar (2014)
Christopher Knights Private (voice)  Private (voice)  See fewer,Members only,Penguins of Madagascar (2014)
Conrad Vernon Mason / Second Policeman (voice)  Mason / Second Policeman (voice)  See fewer,Members only,Shrek 2 (2004)
Vinnie Jones Freddie the Dog (voice)  Freddie the Dog (voice)  See fewer,Top 5000,Snatch (2000)
Steve Jones Jonesy the Dog (voice)  Jonesy the Dog (voice)  See fewer,Members only,The Grift (2008)
Nick Fletcher Frankie the Dog (voice)  Frankie the Dog (voice)  See fewer,Members only,The Prince of Egypt (1998)
Paz Vega Horses (voice)  Horses (voice)  See fewer,Top 5000,Sex and Lucía (2001)
Frank Welker Sonya (voice)  Sonya (voice)  See fewer,Top 5000,Transformers: Dark of the Moon (2011)
Danny Jacobs Croupier / Circus Master (voice)  Croupier / Circus Master (voice)  See fewer,Members only,All Hail King Julien: Exiled (2017)
Dan O'Connor Casino Security / Mayor of New York City (voice)  Casino Security / Mayor of New York City (voice)  See fewer,Members only,Kung Fu Panda 2 (2011)
Eric Darnell Comandante / Zoo Official / Zoo Announcer (voice)  Comandante / Zoo Official / Zoo Announcer (voice)  See fewer,Members only,Madagascar (2005)
Stephen Kearin Fourth Policeman (voice)  Fourth Policeman (voice)  See fewer,Members only,Megamind (2010)
Emily Nordwind Zoo Official (voice)  Zoo Official (voice)  See fewer,Members only,Rise of the Guardians (2012)
Asucena Jimenez Kid in Crowd (voice)  Kid in Crowd (voice)  See fewer,Members only,Time Traveling Wristband (2019)
John DiMaggio Rico (voice)  Rico (voice)  See fewer,Top 5000,Futurama (1999)
Peter Arpesella Vitaly's Fan / French Policeman / Dad (voice) (uncredited)  Vitaly's Fan / French Policeman / Dad (voice) (uncredited)  See fewer,Members only,Live by Night (2016)
Thomas D Kowalski (voice) (uncredited)  Kowalski (voice) (uncredited)  See fewer,Members only,Run Lola Run (1998)
Francesca Fanti Horse / Lady in Italian Circus (voice) (uncredited)  Horse / Lady in Italian Circus (voice) (uncredited)  See fewer,Members only,American Crime Story (2016)
Luigi Fantino Stefano (voice) (uncredited)  Stefano (voice) (uncredited)  See fewer,Members only,Super Smash Bros. Ultimate (2018)
