Name,STARmeter,Known for
Nelly Karim Nagwa  Nagwa  See fewer,Members only,The Blue Elephant (2014)
Hani Adel Adam (as Hany Adel)  Adam (as Hany Adel)  See fewer,Members only,The Treasure 2 (2019)
El Sebaii Mohamed Zein (as Mohamed El Sebaey)  Zein (as Mohamed El Sebaey)  See fewer,Members only,Jesus and the Others
Mohamed ElSouisy Ouais (as Mohamed El Souisy)  Ouais (as Mohamed El Souisy)  See fewer,Members only,Saabe' Gaar (2017)
Ahmed Abdelhamid Hefny Awad (as Ahmed Abdel Hamid)  Awad (as Ahmed Abdel Hamid)  See fewer,Members only,The Nile Hilton Incident (2017)
Mahmoud Fares Central Force Soldier  Central Force Soldier  See fewer,Members only,Kafr Delhab (2017)
Waleed Abdel Ghany Nader  Nader  See fewer,Members only,Photocopy (2017)
Attef Ammar Central Force Officer (as Atef Ammar)  Central Force Officer (as Atef Ammar)  See fewer,Members only,Kafr Delhab (2017)
Tarek Abdel Aziz Hossam  Hossam  See fewer,Members only,Ashab wala business (2001)
Hosny Sheta Fisho  Fisho  See fewer,Members only,The Godfather (2017)
Ahmed Dash Faris  Faris  See fewer,Members only,Photocopy (2017)
Ahmed Malek Mans  Mans  See fewer,Members only,The Treasure 2 (2019)
Mohamed Abdel Azim Radwan  Radwan  See fewer,Members only,Yomeddine (2018)
Gamil Barsoum Salah (as Gameel Barsoum)  Salah (as Gameel Barsoum)  See fewer,Members only,The Treasure (2017)
Khaled Kamel  Actor (as Khaled Kamal)  Actor (as Khaled Kamal)  See fewer,Members only,Clash (2016)
Mohamed Tarek Hussein  Hussein  See fewer,Members only,Under Control (2015)
Mohamed Gamal Kalbaz Tamer  Tamer  See fewer,Members only,Photocopy (2017)
Ashraf Hamdi Omar (as Ashraf Hamdy)  Omar (as Ashraf Hamdy)  See fewer,Members only,From A to B (2014)
Amr Elqady Mohamed Hashem (as Amr El Kady)  Mohamed Hashem (as Amr El Kady)  See fewer,Members only,Jesus and the Others
Ali Eltayeb Hothayfa (as Aly El Tayeb)  Hothayfa (as Aly El Tayeb)  See fewer,Members only,Hepta: The Last Lecture (2016)
Mahmoud Gomaa  Actor  Actor  See fewer,Members only,The Godfather: Part 2 (2018)
Mohamed Salah M. Hashem  M. Hashem  See fewer,Members only,Clash (2016)
Mohamed Alaa Moath  Moath  See fewer,Members only,Al-Shayatin (2007)
Mohamed Abu Elsoa'ud Abdel Hamid  Abdel Hamid  See fewer,Members only,Clash (2016)
May Elghety Aisha (as May El Ghaity)  Aisha (as May El Ghaity)  See fewer,Members only,The Island 2 (2014)
Ahmed El Turky  Actor  Actor  See fewer,Members only,The Cell (2017)
Mohamed Radwan Badr  Badr  See fewer,Members only,Gunshot (2018)
Mohamed Adel Guest appearance  Guest appearance  See fewer,Members only,Clash (2016)
