Name,STARmeter,Known for
Bhole Baba Himself  Himself  See fewer,Members only,Faith Connections (2013)
Hatha Yogi Baba Himself  Himself  See fewer,Members only,Faith Connections (2013)
Pant Shirt Baba Himself  Himself  See fewer,Members only,Faith Connections (2013)
Baby Bajrangi Himself  Himself  See fewer,Members only,Faith Connections (2013)
Shriman Umeshanad Brahmachari Himself  Himself  See fewer,Members only,Faith Connections (2013)
Vivekanand Brahmachari Himself  Himself  See fewer,Members only,Faith Connections (2013)
Mamta Devi Herself  Herself  See fewer,Members only,Faith Connections (2013)
Sony Nishaad Himself  Himself  See fewer,Members only,Faith Connections (2013)
Indrapal Singh Himself (as Inderpal Singh)  Himself (as Inderpal Singh)  See fewer,Members only,The Paranormal Diaries: Clophill (2013)
Kishan Tiwari Himself  Himself  See fewer,Members only,Faith Connections (2013)
